0.000, 1.000
20.000, 0.864
40.000, 0.753
60.000, 0.659
80.000, 0.577
100.000, 0.504
120.000, 0.441
140.000, 0.386
160.000, 0.338
180.000, 0.294
200.000, 0.254
220.000, 0.220
240.000, 0.192
260.000, 0.167
280.000, 0.143
300.000, 0.123
320.000, 0.106
340.000, 0.090
360.000, 0.077
380.000, 0.065
400.000, 0.054
420.000, 0.047
440.000, 0.040
460.000, 0.034
480.000, 0.029
500.000, 0.025
520.000, 0.022
540.000, 0.019
560.000, 0.016
580.000, 0.013
600.000, 0.012
620.000, 0.009
640.000, 0.008
660.000, 0.007
680.000, 0.006
700.000, 0.004
720.000, 0.004
740.000, 0.003
760.000, 0.002
780.000, 0.002
800.000, 0.002
820.000, 0.002
840.000, 0.002
860.000, 0.001
880.000, 0.001
900.000, 0.001
920.000, 0.001
940.000, 0.001
960.000, 0.001
980.000, 0.001
