,Time,Tot_Energy,Free_Energy,OH2,OH,O,OO,All
0,0.0,-10053.868,-9690.618,9,7,2,6,24
0,1.0,-9990.1882,-9626.9382,10,6,2,6,24
0,2.0,-9993.0047,-9629.7547,11,5,2,6,24
0,3.0,-9995.6112,-9632.3612,11,6,1,6,24
0,4.0,-10000.158,-9636.908,11,6,1,6,24
0,5.0,-10000.318,-9637.068,12,5,1,6,24
0,6.0,-9997.0583,-9633.8083,12,6,0,6,24
0,7.0,-9999.6612,-9636.4112,13,5,0,6,24
0,8.0,-9995.8722,-9632.6222,14,4,0,6,24
0,9.0,-10006.119,-9642.869,14,4,0,6,24
0,10.0,-10001.488,-9638.238,14,4,0,6,24
0,11.0,-10008.314,-9645.064,13,5,0,6,24
0,12.0,-10005.4,-9642.15,14,4,0,6,24
0,13.0,-10005.999,-9642.749,14,4,0,6,24
0,14.0,-10005.22,-9641.97,14,4,0,6,24
0,15.0,-10008.578,-9645.328,14,4,0,6,24
0,16.0,-10003.945,-9640.695,14,4,0,6,24
0,17.0,-10009.639,-9646.389,13,5,1,5,24
0,18.0,-10006.933,-9643.683,13,5,1,5,24
0,19.0,-10006.652,-9643.402,12,6,1,5,24
0,20.0,-10002.953,-9639.703,13,5,1,5,24
0,21.0,-10004.802,-9641.552,13,5,1,5,24
0,22.0,-10010.275,-9647.025,13,5,1,5,24
0,23.0,-10008.823,-9645.573,12,7,1,4,24
0,24.0,-10006.689,-9643.439,12,7,1,4,24
0,25.0,-10010.411,-9647.161,12,7,1,4,24
0,26.0,-10008.204,-9644.954,12,7,1,4,24
0,27.0,-10005.84,-9642.59,12,7,1,4,24
0,28.0,-10011.788,-9648.538,11,8,1,4,24
0,29.0,-10012.364,-9649.114,11,8,1,4,24
0,30.0,-10008.548,-9645.298,12,7,1,4,24
0,31.0,-10013.237,-9649.987,12,7,1,4,24
0,32.0,-10011.327,-9648.077,11,8,1,4,24
0,33.0,-10008.636,-9645.386,12,7,1,4,24
0,34.0,-10008.179,-9644.929,12,7,1,4,24
0,35.0,-10010.796,-9647.546,12,7,1,4,24
0,36.0,-10010.604,-9647.354,12,7,1,4,24
0,37.0,-10006.901,-9643.651,12,7,1,4,24
0,38.0,-10010.862,-9647.612,11,8,1,4,24
0,39.0,-10011.622,-9648.372,10,9,1,4,24
0,40.0,-10010.284,-9647.034,12,7,1,4,24
0,41.0,-10008.043,-9644.793,12,7,1,4,24
0,42.0,-10011.29,-9648.04,12,7,1,4,24
0,43.0,-10010.072,-9646.822,12,7,1,4,24
0,44.0,-10013.606,-9650.356,13,6,1,4,24
0,45.0,-10014.049,-9650.799,13,5,2,4,24
0,46.0,-10012.423,-9649.173,13,6,1,4,24
0,47.0,-10015.431,-9652.181,13,6,1,4,24
0,48.0,-10013.916,-9650.666,12,7,1,4,24
0,49.0,-10014.251,-9651.001,12,7,1,4,24
0,50.0,-10012.889,-9649.639,13,6,1,4,24
0,51.0,-10009.302,-9646.052,12,7,1,4,24
0,52.0,-10012.564,-9649.314,13,6,1,4,24
0,53.0,-10013.213,-9649.963,13,6,1,4,24
0,54.0,-10009.658,-9646.408,13,6,1,4,24
0,55.0,-10011.975,-9648.725,12,7,1,4,24
0,56.0,-10010.54,-9647.29,12,7,1,4,24
0,57.0,-10012.245,-9648.995,12,7,1,4,24
0,58.0,-10011.643,-9648.393,12,7,1,4,24
0,59.0,-10011.95,-9648.7,13,6,1,4,24
0,60.0,-10014.555,-9651.305,13,6,1,4,24
0,61.0,-10013.29,-9650.04,13,6,1,4,24
0,62.0,-10013.036,-9649.786,14,5,1,4,24
0,63.0,-10010.562,-9647.312,14,5,1,4,24
0,64.0,-10014.254,-9651.004,14,5,1,4,24
0,65.0,-10011.22,-9647.97,12,7,1,4,24
0,66.0,-10016.101,-9652.851,14,5,1,4,24
0,67.0,-10010.469,-9647.219,14,5,1,4,24
0,68.0,-10013.013,-9649.763,14,5,1,4,24
0,69.0,-10007.499,-9644.249,14,5,1,4,24
0,70.0,-10013.249,-9649.999,14,5,1,4,24
0,71.0,-10008.548,-9645.298,14,5,1,4,24
0,72.0,-10008.781,-9645.531,14,5,1,4,24
0,73.0,-10012.165,-9648.915,13,6,1,4,24
0,74.0,-10008.146,-9644.896,14,5,1,4,24
0,75.0,-10009.833,-9646.583,14,5,1,4,24
0,76.0,-10012.263,-9649.013,14,5,1,4,24
0,77.0,-10011.791,-9648.541,15,4,1,4,24
0,78.0,-10013.009,-9649.759,15,4,1,4,24
0,79.0,-10011.149,-9647.899,15,4,1,4,24
0,80.0,-10011.46,-9648.21,15,4,1,4,24
0,81.0,-10016.351,-9653.101,15,4,1,4,24
0,82.0,-10015.213,-9651.963,15,4,1,4,24
0,83.0,-10018.136,-9654.886,15,4,1,4,24
0,84.0,-10014.879,-9651.629,15,4,1,4,24
0,85.0,-10012.678,-9649.428,15,4,1,4,24
0,86.0,-10008.403,-9645.153,15,4,1,4,24
0,87.0,-10013.116,-9649.866,15,4,1,4,24
0,88.0,-10016.416,-9653.166,15,4,1,4,24
0,89.0,-10012.131,-9648.881,14,5,1,4,24
0,90.0,-10008.884,-9645.634,13,6,1,4,24
0,91.0,-10015.966,-9652.716,15,4,1,4,24
0,92.0,-10011.628,-9648.378,15,4,1,4,24
0,93.0,-10010.939,-9647.689,15,4,1,4,24
0,94.0,-10010.155,-9646.905,15,4,1,4,24
0,95.0,-10013.743,-9650.493,15,4,1,4,24
0,96.0,-10011.379,-9648.129,14,6,0,4,24
0,97.0,-10012.816,-9649.566,13,7,0,4,24
0,98.0,-10013.969,-9650.719,13,7,0,4,24
0,99.0,-10011.209,-9647.959,13,7,0,4,24
0,100.0,-10016.465,-9653.215,14,6,0,4,24
0,101.0,-10010.66,-9647.41,14,6,0,4,24
0,102.0,-10012.591,-9649.341,14,6,0,4,24
0,103.0,-10016.843,-9653.593,14,6,0,4,24
0,104.0,-10012.815,-9649.565,15,5,0,4,24
0,105.0,-10011.601,-9648.351,15,5,0,4,24
0,106.0,-10014.363,-9651.113,15,5,0,4,24
0,107.0,-10014.758,-9651.508,14,6,0,4,24
0,108.0,-10014.532,-9651.282,15,5,0,4,24
0,109.0,-10013.403,-9650.153,14,6,0,4,24
0,110.0,-10017.047,-9653.797,15,5,0,4,24
0,111.0,-10013.776,-9650.526,14,6,0,4,24
0,112.0,-10011.89,-9648.64,15,5,0,4,24
0,113.0,-10014.949,-9651.699,15,5,0,4,24
0,114.0,-10012.614,-9649.364,15,5,0,4,24
0,115.0,-10012.961,-9649.711,15,5,0,4,24
0,116.0,-10016.815,-9653.565,15,5,0,4,24
0,117.0,-10014.478,-9651.228,14,6,0,4,24
0,118.0,-10014.337,-9651.087,15,5,0,4,24
0,119.0,-10016.761,-9653.511,15,5,0,4,24
0,120.0,-10015.573,-9652.323,15,5,0,4,24
0,121.0,-10012.922,-9649.672,14,6,0,4,24
0,122.0,-10012.164,-9648.914,15,5,0,4,24
0,123.0,-10016.002,-9652.752,15,5,0,4,24
0,124.0,-10011.632,-9648.382,15,5,0,4,24
0,125.0,-10014.892,-9651.642,14,6,0,4,24
0,126.0,-10013.164,-9649.914,15,5,0,4,24
0,127.0,-10010.11,-9646.86,14,6,0,4,24
0,128.0,-10012.985,-9649.735,14,6,0,4,24
0,129.0,-10012.914,-9649.664,14,6,0,4,24
0,130.0,-10014.122,-9650.872,15,5,0,4,24
0,131.0,-10010.963,-9647.713,15,5,0,4,24
0,132.0,-10015.768,-9652.518,14,6,0,4,24
0,133.0,-10018.584,-9655.334,15,5,0,4,24
0,134.0,-10012.983,-9649.733,14,6,0,4,24
0,135.0,-10011.973,-9648.723,15,5,0,4,24
0,136.0,-10012.275,-9649.025,16,3,1,4,24
0,137.0,-10010.022,-9646.772,16,3,1,4,24
0,138.0,-10017.433,-9654.183,16,3,1,4,24
0,139.0,-10011.189,-9647.939,16,3,1,4,24
0,140.0,-10012.58,-9649.33,16,3,1,4,24
0,141.0,-10014.42,-9651.17,16,3,1,4,24
0,142.0,-10014.962,-9651.712,16,3,1,4,24
0,143.0,-10012.305,-9649.055,16,3,1,4,24
0,144.0,-10013.586,-9650.336,15,5,0,4,24
0,145.0,-10009.793,-9646.543,15,5,0,4,24
