,Time,Tot_Energy,Free_Energy,OH2,OH,O,OO,All
0,0.0,-10023.494,-9676.272500000001,7,4,5,8,24
0,1.0,-9964.5477,-9617.3262,8,6,2,8,24
0,2.0,-9958.3385,-9611.117,8,6,2,8,24
0,3.0,-9963.7311,-9616.509600000001,8,6,2,8,24
0,4.0,-9970.0756,-9622.8541,9,5,2,8,24
0,5.0,-9969.1658,-9621.944300000001,9,4,3,8,24
0,6.0,-9971.3348,-9624.1133,9,4,3,8,24
0,7.0,-9967.6818,-9620.4603,10,4,2,8,24
0,8.0,-9974.8406,-9627.6191,10,3,3,8,24
0,9.0,-9971.6104,-9624.3889,10,3,3,8,24
0,10.0,-9975.8807,-9628.6592,9,4,3,8,24
0,11.0,-9973.3373,-9626.1158,10,3,3,8,24
0,12.0,-9973.2303,-9626.0088,9,4,3,8,24
0,13.0,-9977.1554,-9629.9339,8,5,3,8,24
0,14.0,-9973.4151,-9626.1936,10,3,3,8,24
0,15.0,-9974.7537,-9627.5322,10,3,3,8,24
0,16.0,-9977.4592,-9630.2377,10,3,3,8,24
0,17.0,-9972.3605,-9625.139000000001,10,3,3,8,24
0,18.0,-9977.6772,-9630.4557,11,3,2,8,24
0,19.0,-9977.7525,-9630.531,12,2,2,8,24
0,20.0,-9973.5083,-9626.2868,11,3,2,8,24
0,21.0,-9975.329,-9628.1075,11,3,2,8,24
0,22.0,-9974.0387,-9626.8172,12,2,2,8,24
0,23.0,-9977.554,-9630.3325,12,2,2,8,24
0,24.0,-9974.8006,-9627.5791,12,2,2,8,24
0,25.0,-9978.2006,-9630.9791,12,2,2,8,24
0,26.0,-9977.2315,-9630.01,12,2,2,8,24
0,27.0,-9977.9579,-9630.7364,12,2,2,8,24
0,28.0,-9976.9805,-9629.759,12,2,2,8,24
0,29.0,-9980.6934,-9633.4719,12,2,2,8,24
0,30.0,-9974.7644,-9627.5429,11,3,2,8,24
0,31.0,-9976.6336,-9629.4121,12,2,2,8,24
0,32.0,-9974.8462,-9627.6247,12,2,2,8,24
0,33.0,-9979.2883,-9632.0668,12,2,2,8,24
0,34.0,-9975.9759,-9628.7544,12,2,2,8,24
0,35.0,-9978.5817,-9631.360200000001,12,1,3,8,24
0,36.0,-9972.2222,-9625.0007,11,3,2,8,24
0,37.0,-9979.2117,-9631.9902,12,2,2,8,24
0,38.0,-9977.8798,-9630.658300000001,11,3,2,8,24
0,39.0,-9981.6446,-9634.4231,11,3,2,8,24
0,40.0,-9981.9064,-9634.6849,13,1,2,8,24
0,41.0,-9979.9352,-9632.7137,13,1,2,8,24
0,42.0,-9976.8559,-9629.6344,13,1,2,8,24
0,43.0,-9980.6297,-9633.4082,12,2,2,8,24
0,44.0,-9981.465,-9634.2435,13,1,2,8,24
0,45.0,-9979.4724,-9632.250900000001,13,1,2,8,24
0,46.0,-9982.6498,-9635.4283,13,1,2,8,24
0,47.0,-9982.7227,-9635.5012,12,2,2,8,24
0,48.0,-9980.6617,-9633.440200000001,12,2,2,8,24
0,49.0,-9978.7671,-9631.5456,13,1,2,8,24
