,Time,Tot_Energy,Free_Energy,OH2,OH,O,OO,All
0,0.0,-10055.303,-9692.053,10,3,5,6,24
0,1.0,-9997.7197,-9634.4697,10,5,4,5,24
0,2.0,-9994.6219,-9631.3719,10,5,4,5,24
0,3.0,-9993.3556,-9630.1056,10,5,4,5,24
0,4.0,-9998.4864,-9635.2364,10,6,3,5,24
0,5.0,-10001.527,-9638.277,9,8,2,5,24
0,6.0,-10003.538,-9640.288,10,7,2,5,24
0,7.0,-10001.067,-9637.817,9,8,2,5,24
0,8.0,-10005.753,-9642.503,9,8,2,5,24
0,9.0,-10001.556,-9638.306,10,7,2,5,24
0,10.0,-10008.013,-9644.763,11,6,2,5,24
0,11.0,-10004.316,-9641.066,11,6,2,5,24
0,12.0,-10004.384,-9641.134,12,5,2,5,24
0,13.0,-10006.316,-9643.066,12,5,2,5,24
0,14.0,-10001.45,-9638.2,12,5,2,5,24
0,15.0,-10005.622,-9642.372,12,5,2,5,24
0,16.0,-10002.925,-9639.675,12,5,2,5,24
0,17.0,-10006.339,-9643.089,11,6,2,5,24
0,18.0,-10009.765,-9646.515,11,6,2,5,24
0,19.0,-10005.07,-9641.82,13,4,2,5,24
0,20.0,-10008.736,-9645.486,13,4,2,5,24
0,21.0,-10007.502,-9644.252,13,4,2,5,24
0,22.0,-10007.046,-9643.796,13,4,2,5,24
0,23.0,-10010.45,-9647.2,13,4,2,5,24
0,24.0,-10008.467,-9645.217,13,4,2,5,24
0,25.0,-10008.568,-9645.318,12,5,2,5,24
0,26.0,-10009.129,-9645.879,13,4,2,5,24
0,27.0,-10003.782,-9640.532,13,4,2,5,24
0,28.0,-10006.255,-9643.005,13,4,2,5,24
0,29.0,-10009.571,-9646.321,13,4,2,5,24
0,30.0,-10007.301,-9644.051,11,7,1,5,24
0,31.0,-10009.486,-9646.236,12,6,1,5,24
0,32.0,-10009.453,-9646.203,13,5,1,5,24
0,33.0,-10006.142,-9642.892,13,5,1,5,24
0,34.0,-10007.157,-9643.907,13,5,1,5,24
0,35.0,-10008.905,-9645.655,14,3,2,5,24
0,36.0,-10011.198,-9647.948,13,4,2,5,24
0,37.0,-10004.019,-9640.769,14,3,2,5,24
0,38.0,-10007.05,-9643.8,13,5,1,5,24
0,39.0,-10009.541,-9646.291,14,4,1,5,24
0,40.0,-10009.815,-9646.565,14,4,1,5,24
0,41.0,-10004.974,-9641.724,13,5,1,5,24
0,42.0,-10009.508,-9646.258,14,4,1,5,24
0,43.0,-10008.714,-9645.464,14,4,1,5,24
0,44.0,-10010.816,-9647.566,14,4,1,5,24
0,45.0,-10001.885,-9638.635,13,5,1,5,24
0,46.0,-10014.487,-9651.237,14,4,1,5,24
0,47.0,-10008.203,-9644.953,13,5,1,5,24
0,48.0,-10004.811,-9641.561,14,4,1,5,24
0,49.0,-10006.265,-9643.015,14,4,1,5,24
0,50.0,-10007.953,-9644.703,14,4,1,5,24
0,51.0,-10009.429,-9646.179,14,4,1,5,24
0,52.0,-10007.696,-9644.446,15,3,1,5,24
0,53.0,-10010.425,-9647.175,14,4,1,5,24
0,54.0,-10012.621,-9649.371,15,3,1,5,24
0,55.0,-10011.704,-9648.454,16,2,1,5,24
0,56.0,-10012.125,-9648.875,14,4,1,5,24
0,57.0,-10008.07,-9644.82,15,3,1,5,24
0,58.0,-10013.603,-9650.353,16,2,1,5,24
0,59.0,-10010.643,-9647.393,16,2,1,5,24
0,60.0,-10010.356,-9647.106,16,2,1,5,24
0,61.0,-10005.459,-9642.209,16,2,1,5,24
0,62.0,-10009.858,-9646.608,16,2,1,5,24
0,63.0,-10011.791,-9648.541,16,2,1,5,24
0,64.0,-10008.115,-9644.865,16,2,1,5,24
0,65.0,-10012.761,-9649.511,15,3,1,5,24
0,66.0,-10006.745,-9643.495,15,3,1,5,24
0,67.0,-10012.419,-9649.169,15,3,1,5,24
0,68.0,-10009.701,-9646.451,15,3,1,5,24
0,69.0,-10010.647,-9647.397,14,4,1,5,24
0,70.0,-10007.836,-9644.586,14,4,1,5,24
0,71.0,-10007.612,-9644.362,15,3,1,5,24
0,72.0,-10011.237,-9647.987,15,3,1,5,24
0,73.0,-10009.113,-9645.863,15,3,1,5,24
0,74.0,-10011.368,-9648.118,13,5,1,5,24
0,75.0,-10006.99,-9643.74,15,3,1,5,24
0,76.0,-10010.4,-9647.15,13,5,1,5,24
0,77.0,-10006.785,-9643.535,15,3,2,4,24
0,78.0,-10010.99,-9647.74,13,5,2,4,24
0,79.0,-10011.953,-9648.703,14,4,2,4,24
0,80.0,-10009.402,-9646.152,12,6,2,4,24
0,81.0,-10010.695,-9647.445,14,4,2,4,24
0,82.0,-10011.982,-9648.732,15,3,2,4,24
0,83.0,-10009.951,-9646.701,15,3,2,4,24
0,84.0,-10013.376,-9650.126,15,3,2,4,24
0,85.0,-10010.408,-9647.158,15,3,2,4,24
0,86.0,-10012.483,-9649.233,14,4,2,4,24
0,87.0,-10010.494,-9647.244,13,5,2,4,24
0,88.0,-10015.107,-9651.857,14,4,2,4,24
0,89.0,-10013.063,-9649.813,14,4,2,4,24
0,90.0,-10011.312,-9648.062,13,5,2,4,24
0,91.0,-10014.649,-9651.399,15,3,2,4,24
0,92.0,-10010.356,-9647.106,14,4,2,4,24
0,93.0,-10012.845,-9649.595,15,3,2,4,24
0,94.0,-10012.85,-9649.6,15,3,2,4,24
0,95.0,-10011.014,-9647.764,15,3,2,4,24
0,96.0,-10008.826,-9645.576,15,3,2,4,24
0,97.0,-10011.169,-9647.919,14,3,2,4,23
0,98.0,-10013.842,-9650.592,15,3,2,4,24
0,99.0,-10011.379,-9648.129,14,4,2,4,24
0,100.0,-10011.711,-9648.461,15,3,2,4,24
0,101.0,-10012.224,-9648.974,15,3,2,4,24
0,102.0,-10010.151,-9646.901,15,3,2,4,24
0,103.0,-10012.23,-9648.98,15,3,2,4,24
0,104.0,-10009.11,-9645.86,15,3,2,4,24
0,105.0,-10009.213,-9645.963,15,3,2,4,24
0,106.0,-10011.307,-9648.057,15,3,2,4,24
0,107.0,-10013.927,-9650.677,13,5,2,4,24
0,108.0,-10011.896,-9648.646,14,4,2,4,24
0,109.0,-10014.278,-9651.028,14,4,2,4,24
0,110.0,-10012.798,-9649.548,15,3,2,4,24
0,111.0,-10015.173,-9651.923,15,3,2,4,24
0,112.0,-10010.644,-9647.394,15,3,2,4,24
0,113.0,-10015.406,-9652.156,15,3,2,4,24
0,114.0,-10012.215,-9648.965,15,3,2,4,24
0,115.0,-10013.264,-9650.014,14,4,2,4,24
