,Time,Tot_Energy,Free_Energy,OH2,OH,O,All
0,0.0,-10010.541,-9681.016,0,12,12,24
0,1.0,-9951.8195,-9622.2945,0,10,14,24
0,2.0,-9947.2387,-9617.7137,0,8,16,24
0,3.0,-9952.5879,-9623.0629,0,6,18,24
0,4.0,-9954.7388,-9625.2138,0,6,18,24
0,5.0,-9952.7374,-9623.2124,0,6,18,24
0,6.0,-9956.6743,-9627.149300000001,0,6,18,24
0,7.0,-9956.1811,-9626.6561,0,4,20,24
0,8.0,-9955.1088,-9625.5838,0,5,19,24
0,9.0,-9958.3618,-9628.836800000001,0,5,19,24
0,10.0,-9960.5052,-9630.9802,0,4,20,24
0,11.0,-9960.2326,-9630.7076,0,5,19,24
0,12.0,-9961.8309,-9632.305900000001,0,5,19,24
0,13.0,-9962.6296,-9633.1046,0,5,19,24
0,14.0,-9965.0291,-9635.5041,0,5,19,24
0,15.0,-9964.9648,-9635.4398,0,5,19,24
0,16.0,-9962.7898,-9633.2648,0,6,18,24
0,17.0,-9966.048,-9636.523000000001,0,4,20,24
0,18.0,-9961.5835,-9632.058500000001,0,4,20,24
0,19.0,-9959.7501,-9630.2251,0,4,20,24
0,20.0,-9964.5546,-9635.0296,0,4,20,24
0,21.0,-9962.4876,-9632.9626,0,6,18,24
0,22.0,-9962.1319,-9632.6069,0,7,17,24
0,23.0,-9963.7916,-9634.2666,0,7,17,24
0,24.0,-9960.5063,-9630.9813,0,7,17,24
0,25.0,-9964.1176,-9634.5926,0,7,17,24
0,26.0,-9963.8611,-9634.3361,0,7,17,24
0,27.0,-9964.8811,-9635.3561,0,7,17,24
0,28.0,-9961.7374,-9632.2124,0,7,17,24
0,29.0,-9961.3972,-9631.8722,0,7,17,24
0,30.0,-9961.8914,-9632.3664,0,7,17,24
0,31.0,-9964.3721,-9634.8471,0,6,18,24
0,32.0,-9966.8578,-9637.3328,0,5,19,24
0,33.0,-9963.4189,-9633.893900000001,0,6,18,24
0,34.0,-9967.2024,-9637.6774,0,6,18,24
0,35.0,-9964.9078,-9635.382800000001,0,5,19,24
0,36.0,-9965.1526,-9635.6276,0,7,17,24
0,37.0,-9966.6688,-9637.1438,0,6,18,24
0,38.0,-9964.9634,-9635.438400000001,0,4,20,24
0,39.0,-9965.0018,-9635.4768,0,4,20,24
0,40.0,-9962.7355,-9633.210500000001,0,5,19,24
0,41.0,-9968.2023,-9638.677300000001,0,5,19,24
0,42.0,-9964.1822,-9634.6572,0,4,20,24
0,43.0,-9968.2776,-9638.7526,0,5,19,24
0,44.0,-9962.7633,-9633.2383,0,4,20,24
0,45.0,-9964.6906,-9635.1656,0,4,20,24
0,46.0,-9964.5132,-9634.9882,0,4,20,24
0,47.0,-9966.9551,-9637.4301,0,4,20,24
0,48.0,-9966.2371,-9636.7121,0,4,20,24
0,49.0,-9959.5253,-9630.0003,0,4,20,24
0,50.0,-9966.6973,-9637.1723,0,4,20,24
0,51.0,-9969.6884,-9640.1634,0,5,19,24
0,52.0,-9965.803,-9636.278,0,4,20,24
0,53.0,-9962.8616,-9633.3366,0,4,20,24
0,54.0,-9967.2174,-9637.6924,0,5,19,24
0,55.0,-9965.0549,-9635.5299,0,5,19,24
0,56.0,-9966.3715,-9636.8465,0,5,19,24
0,57.0,-9967.8417,-9638.316700000001,0,5,19,24
0,58.0,-9964.2674,-9634.742400000001,0,4,20,24
