,Time,Tot_Energy,Free_Energy,OH2,OH,O,All
0,0.0,-10060.377,-9671.0175,0,13,11,24
0,1.0,-9994.5194,-9605.159899999999,0,12,12,24
0,2.0,-10001.703,-9612.343499999999,0,11,13,24
0,3.0,-10001.364,-9612.0045,0,12,12,24
0,4.0,-10009.179,-9619.8195,0,12,12,24
0,5.0,-10008.086,-9618.726499999999,0,12,12,24
0,6.0,-10005.612,-9616.252499999999,0,12,12,24
0,7.0,-10008.524,-9619.164499999999,0,12,12,24
0,8.0,-10012.019,-9622.6595,0,11,13,24
0,9.0,-10011.291,-9621.931499999999,0,11,13,24
0,10.0,-10011.759,-9622.3995,0,11,13,24
0,11.0,-10012.635,-9623.2755,0,11,13,24
0,12.0,-10015.502,-9626.1425,0,10,14,24
0,13.0,-10012.242,-9622.8825,0,10,14,24
0,14.0,-10016.259,-9626.8995,0,10,14,24
0,15.0,-10013.705,-9624.3455,0,9,15,24
0,16.0,-10012.192,-9622.832499999999,0,9,15,24
0,17.0,-10012.86,-9623.5005,0,9,15,24
0,18.0,-10016.027,-9626.6675,0,9,15,24
0,19.0,-10012.229,-9622.869499999999,0,9,15,24
0,20.0,-10016.877,-9627.5175,0,9,15,24
0,21.0,-10012.896,-9623.5365,0,8,16,24
0,22.0,-10017.013,-9627.6535,0,9,15,24
0,23.0,-10011.919,-9622.5595,0,8,16,24
0,24.0,-10016.6,-9627.2405,0,8,16,24
0,25.0,-10013.93,-9624.5705,0,8,16,24
0,26.0,-10018.208,-9628.8485,0,8,16,24
0,27.0,-10018.529,-9629.1695,0,8,16,24
0,28.0,-10016.339,-9626.9795,0,8,16,24
0,29.0,-10014.386,-9625.0265,0,9,15,24
0,30.0,-10018.172,-9628.8125,0,8,16,24
0,31.0,-10017.26,-9627.9005,0,8,16,24
0,32.0,-10014.172,-9624.8125,0,9,15,24
0,33.0,-10012.883,-9623.5235,0,9,15,24
0,34.0,-10017.665,-9628.3055,0,9,15,24
0,35.0,-10018.713,-9629.3535,0,8,16,24
0,36.0,-10011.124,-9621.7645,0,8,16,24
0,37.0,-10018.77,-9629.4105,0,8,16,24
0,38.0,-10023.057,-9633.6975,0,8,16,24
0,39.0,-10017.4,-9628.0405,0,8,16,24
0,40.0,-10015.578,-9626.218499999999,0,8,16,24
