,Time,Tot_Energy,Free_Energy,OH2,OH,O,All
0,0.0,-9995.6521,-9687.1961,0,6,18,24
0,1.0,-9934.0015,-9625.5455,0,5,19,24
0,2.0,-9933.0472,-9624.5912,0,5,19,24
0,3.0,-9936.7826,-9628.3266,0,5,19,24
0,4.0,-9942.7901,-9634.3341,0,4,20,24
0,5.0,-9940.9533,-9632.497299999999,0,3,21,24
0,6.0,-9943.9466,-9635.4906,0,3,21,24
0,7.0,-9940.0449,-9631.5889,0,4,20,24
0,8.0,-9944.7606,-9636.3046,0,3,21,24
0,9.0,-9942.8991,-9634.4431,0,3,21,24
0,10.0,-9945.2671,-9636.811099999999,0,2,22,24
0,11.0,-9942.5363,-9634.0803,0,2,22,24
0,12.0,-9943.5414,-9635.0854,0,2,22,24
0,13.0,-9943.2589,-9634.8029,0,2,22,24
0,14.0,-9946.092,-9637.636,0,2,22,24
0,15.0,-9945.6235,-9637.1675,0,2,22,24
0,16.0,-9946.7137,-9638.2577,0,3,21,24
0,17.0,-9943.6491,-9635.1931,0,2,22,24
0,18.0,-9942.9469,-9634.4909,0,2,22,24
0,19.0,-9947.6279,-9639.1719,0,2,22,24
0,20.0,-9946.2844,-9637.8284,0,3,21,24
0,21.0,-9945.2305,-9636.7745,0,2,22,24
0,22.0,-9947.3987,-9638.9427,0,2,22,24
0,23.0,-9947.685,-9639.229,0,2,22,24
0,24.0,-9944.3695,-9635.9135,0,2,22,24
0,25.0,-9942.2022,-9633.7462,0,2,22,24
0,26.0,-9946.486,-9638.03,0,3,21,24
0,27.0,-9944.1802,-9635.7242,0,3,21,24
0,28.0,-9945.7867,-9637.3307,0,2,22,24
0,29.0,-9948.1247,-9639.6687,0,4,20,24
0,30.0,-9945.6369,-9637.1809,0,3,21,24
0,31.0,-9949.3681,-9640.9121,0,4,20,24
0,32.0,-9944.6614,-9636.2054,0,3,21,24
0,33.0,-9945.9238,-9637.4678,0,4,20,24
0,34.0,-9945.6822,-9637.2262,0,3,21,24
0,35.0,-9949.4989,-9641.0429,0,3,21,24
