,Time,Tot_Energy,Free_Energy,OH2,OH,O,OO,All
0,0.0,-10007.376,-9692.592,8,6,7,3,24
0,1.0,-9943.3974,-9628.6134,8,6,7,3,24
0,2.0,-9946.3045,-9631.5205,7,8,7,2,24
0,3.0,-9946.8652,-9632.0812,9,6,7,2,24
0,4.0,-9947.8516,-9633.0676,8,6,8,2,24
0,5.0,-9953.6009,-9638.8169,9,6,7,2,24
0,6.0,-9954.8606,-9640.0766,10,6,6,2,24
0,7.0,-9951.7062,-9636.9222,9,7,6,2,24
0,8.0,-9958.4086,-9643.624600000001,10,6,6,2,24
0,9.0,-9961.7757,-9646.9917,10,6,6,2,24
0,10.0,-9958.9006,-9644.116600000001,10,5,7,2,24
0,11.0,-9955.0973,-9640.3133,10,6,6,2,24
0,12.0,-9953.4514,-9638.6674,10,5,7,2,24
0,13.0,-9954.6613,-9639.8773,8,8,6,2,24
0,14.0,-9960.6649,-9645.8809,10,5,7,2,24
0,15.0,-9956.3635,-9641.5795,9,7,6,2,24
0,16.0,-9955.1766,-9640.392600000001,10,5,7,2,24
0,17.0,-9955.2455,-9640.461500000001,9,6,7,2,24
0,18.0,-9958.2109,-9643.4269,10,5,7,2,24
0,19.0,-9957.5974,-9642.813400000001,10,6,6,2,24
0,20.0,-9954.4076,-9639.6236,10,6,6,2,24
0,21.0,-9958.8611,-9644.0771,10,5,7,2,24
0,22.0,-9955.256,-9640.472,10,6,6,2,24
0,23.0,-9961.3292,-9646.5452,10,6,6,2,24
0,24.0,-9960.4626,-9645.678600000001,9,7,6,2,24
0,25.0,-9956.6625,-9641.8785,10,6,6,2,24
0,26.0,-9962.805,-9648.021,10,6,6,2,24
0,27.0,-9961.4424,-9646.6584,10,6,6,2,24
0,28.0,-9960.0965,-9645.3125,10,6,6,2,24
0,29.0,-9959.9609,-9645.1769,10,6,6,2,24
0,30.0,-9958.0014,-9643.2174,9,8,5,2,24
0,31.0,-9955.5537,-9640.7697,9,8,5,2,24
0,32.0,-9956.9955,-9642.211500000001,9,8,5,2,24
0,33.0,-9960.4212,-9645.637200000001,8,9,5,2,24
0,34.0,-9958.9847,-9644.200700000001,9,8,5,2,24
0,35.0,-9956.8237,-9642.039700000001,9,8,5,2,24
0,36.0,-9958.9506,-9644.1666,7,10,5,2,24
0,37.0,-9956.6874,-9641.903400000001,9,8,5,2,24
0,38.0,-9956.2008,-9641.4168,9,8,5,2,24
0,39.0,-9961.6081,-9646.8241,8,8,6,2,24
0,40.0,-9960.0509,-9645.2669,10,6,6,2,24
0,41.0,-9956.7422,-9641.958200000001,10,6,6,2,24
0,42.0,-9963.7691,-9648.9851,10,6,6,2,24
0,43.0,-9955.6564,-9640.8724,10,7,5,2,24
0,44.0,-9959.2092,-9644.4252,9,7,6,2,24
0,45.0,-9957.3221,-9642.5381,10,7,5,2,24
0,46.0,-9958.2336,-9643.4496,10,6,6,2,24
0,47.0,-9959.4536,-9644.669600000001,10,6,6,2,24
0,48.0,-9960.3873,-9645.6033,10,7,5,2,24
0,49.0,-9960.023,-9645.239,11,6,5,2,24
0,50.0,-9955.4477,-9640.663700000001,11,6,5,2,24
0,51.0,-9962.0628,-9647.2788,11,6,5,2,24
0,52.0,-9961.7597,-9646.9757,11,6,5,2,24
0,53.0,-9957.6499,-9642.8659,11,6,5,2,24
0,54.0,-9962.2308,-9647.4468,11,6,5,2,24
0,55.0,-9957.7014,-9642.9174,11,6,5,2,24
0,56.0,-9962.0073,-9647.2233,11,6,5,2,24
0,57.0,-9960.8831,-9646.0991,11,6,5,2,24
0,58.0,-9957.3754,-9642.591400000001,11,6,5,2,24
0,59.0,-9958.2203,-9643.436300000001,10,7,5,2,24
0,60.0,-9964.976,-9650.192000000001,11,6,5,2,24
0,61.0,-9962.0724,-9647.2884,10,7,5,2,24
0,62.0,-9960.6376,-9645.8536,11,6,5,2,24
0,63.0,-9960.8488,-9646.0648,11,6,5,2,24
0,64.0,-9960.2297,-9645.4457,10,7,5,2,24
0,65.0,-9965.7475,-9650.9635,11,6,5,2,24
0,66.0,-9962.9044,-9648.1204,11,6,5,2,24
0,67.0,-9961.4931,-9646.7091,11,6,5,2,24
0,68.0,-9958.7464,-9643.9624,11,6,5,2,24
0,69.0,-9964.2271,-9649.4431,11,6,5,2,24
0,70.0,-9959.4282,-9644.6442,11,6,5,2,24
0,71.0,-9961.3117,-9646.5277,11,6,5,2,24
0,72.0,-9959.5857,-9644.8017,11,6,5,2,24
0,73.0,-9963.5628,-9648.7788,11,6,5,2,24
0,74.0,-9963.2433,-9648.4593,10,7,5,2,24
0,75.0,-9959.6505,-9644.8665,11,7,4,2,24
0,76.0,-9965.4301,-9650.6461,11,7,4,2,24
0,77.0,-9964.9992,-9650.2152,11,7,4,2,24
0,78.0,-9968.6474,-9653.8634,11,7,4,2,24
0,79.0,-9961.7303,-9646.9463,10,9,3,2,24
0,80.0,-9961.5504,-9646.7664,10,9,3,2,24
0,81.0,-9965.3269,-9650.5429,10,9,3,2,24
0,82.0,-9964.0166,-9649.232600000001,10,9,3,2,24
0,83.0,-9961.4422,-9646.6582,10,9,3,2,24
0,84.0,-9966.6704,-9651.886400000001,10,9,3,2,24
0,85.0,-9965.9185,-9651.1345,10,9,3,2,24
0,86.0,-9965.1873,-9650.4033,10,9,3,2,24
0,87.0,-9961.7176,-9646.9336,10,9,3,2,24
0,88.0,-9963.859,-9649.075,11,8,3,2,24
0,89.0,-9962.9176,-9648.133600000001,11,8,3,2,24
0,90.0,-9963.2655,-9648.4815,11,8,3,2,24
0,91.0,-9964.8576,-9650.0736,11,8,3,2,24
0,92.0,-9958.3682,-9643.584200000001,9,10,3,2,24
0,93.0,-9966.1604,-9651.376400000001,10,9,3,2,24
0,94.0,-9964.1123,-9649.328300000001,11,8,3,2,24
0,95.0,-9961.2387,-9646.4547,12,7,3,2,24
0,96.0,-9966.1373,-9651.3533,11,8,3,2,24
0,97.0,-9967.0542,-9652.2702,11,8,3,2,24
0,98.0,-9958.8199,-9644.0359,12,7,3,2,24
0,99.0,-9966.6558,-9651.8718,10,9,3,2,24
0,100.0,-9963.9434,-9649.1594,12,7,3,2,24
0,101.0,-9962.6395,-9647.8555,12,7,3,2,24
0,102.0,-9963.2538,-9648.4698,11,9,2,2,24
0,103.0,-9966.4924,-9651.7084,11,9,2,2,24
0,104.0,-9961.1904,-9646.4064,11,9,2,2,24
0,105.0,-9962.2696,-9647.4856,11,9,2,2,24
0,106.0,-9966.7649,-9651.9809,11,9,2,2,24
0,107.0,-9963.5752,-9648.7912,11,9,2,2,24
0,108.0,-9963.0139,-9648.2299,10,10,2,2,24
0,109.0,-9959.2539,-9644.4699,11,9,2,2,24
0,110.0,-9959.6422,-9644.8582,10,11,1,2,24
0,111.0,-9961.9414,-9647.1574,10,11,1,2,24
0,112.0,-9962.2493,-9647.4653,10,11,1,2,24
0,113.0,-9961.0227,-9646.2387,10,10,2,2,24
0,114.0,-9962.9736,-9648.1896,11,9,2,2,24
0,115.0,-9965.2937,-9650.5097,11,9,2,2,24
0,116.0,-9960.3669,-9645.582900000001,10,10,2,2,24
0,117.0,-9958.4995,-9643.7155,11,9,2,2,24
0,118.0,-9963.6434,-9648.859400000001,11,9,2,2,24
0,119.0,-9963.7658,-9648.9818,11,9,2,2,24
0,120.0,-9961.4845,-9646.7005,11,9,2,2,24
0,121.0,-9960.1043,-9645.320300000001,11,9,2,2,24
0,122.0,-9960.4048,-9645.6208,10,10,2,2,24
0,123.0,-9964.1821,-9649.3981,11,9,2,2,24
0,124.0,-9963.2711,-9648.4871,11,9,2,2,24
0,125.0,-9958.9191,-9644.1351,10,10,2,2,24
0,126.0,-9961.9809,-9647.1969,11,8,3,2,24
0,127.0,-9965.563,-9650.779,12,7,3,2,24
0,128.0,-9961.7891,-9647.0051,11,8,3,2,24
0,129.0,-9960.2321,-9645.4481,12,7,3,2,24
0,130.0,-9967.1441,-9652.3601,11,8,3,2,24
0,131.0,-9960.8525,-9646.068500000001,12,7,3,2,24
0,132.0,-9964.3954,-9649.6114,11,8,3,2,24
0,133.0,-9959.2891,-9644.5051,12,7,3,2,24
0,134.0,-9961.1052,-9646.3212,12,7,3,2,24
0,135.0,-9961.4916,-9646.7076,12,7,3,2,24
0,136.0,-9961.5691,-9646.785100000001,10,9,3,2,24
0,137.0,-9964.1146,-9649.330600000001,11,8,3,2,24
0,138.0,-9963.4295,-9648.6455,11,8,3,2,24
0,139.0,-9961.9527,-9647.1687,11,8,3,2,24
0,140.0,-9965.2164,-9650.4324,12,7,3,2,24
0,141.0,-9966.9198,-9652.1358,12,7,3,2,24
0,142.0,-9963.0402,-9648.2562,13,6,3,2,24
0,143.0,-9963.2223,-9648.4383,13,6,3,2,24
0,144.0,-9961.4971,-9646.7131,13,6,3,2,24
0,145.0,-9964.0432,-9649.2592,12,7,3,2,24
0,146.0,-9964.176,-9649.392,12,7,3,2,24
0,147.0,-9962.6011,-9647.8171,13,6,3,2,24
0,148.0,-9963.7549,-9648.9709,13,6,3,2,24
0,149.0,-9964.6487,-9649.8647,13,6,3,2,24
0,150.0,-9962.2722,-9647.4882,13,6,3,2,24
0,151.0,-9962.1813,-9647.3973,11,8,3,2,24
0,152.0,-9963.7542,-9648.9702,12,6,4,2,24
0,153.0,-9960.4425,-9645.6585,12,6,4,2,24
0,154.0,-9960.3946,-9645.6106,12,7,3,2,24
0,155.0,-9962.8223,-9648.0383,12,7,3,2,24
0,156.0,-9965.4946,-9650.7106,13,6,3,2,24
0,157.0,-9965.2221,-9650.438100000001,13,6,3,2,24
0,158.0,-9965.0996,-9650.3156,12,7,3,2,24
0,159.0,-9965.1833,-9650.399300000001,13,6,3,2,24
0,160.0,-9961.6215,-9646.8375,13,6,3,2,24
0,161.0,-9960.4825,-9645.6985,14,4,4,2,24
0,162.0,-9961.7238,-9646.9398,12,7,3,2,24
0,163.0,-9963.8862,-9649.102200000001,13,6,3,2,24
0,164.0,-9961.6245,-9646.8405,13,6,3,2,24
0,165.0,-9964.7962,-9650.012200000001,11,8,3,2,24
0,166.0,-9961.9678,-9647.1838,12,7,3,2,24
0,167.0,-9963.6554,-9648.8714,13,6,3,2,24
0,168.0,-9966.9251,-9652.1411,12,8,2,2,24
0,169.0,-9964.098,-9649.314,12,8,2,2,24
0,170.0,-9963.2127,-9648.4287,12,8,2,2,24
0,171.0,-9961.3509,-9646.5669,11,9,2,2,24
0,172.0,-9962.8708,-9648.086800000001,11,9,2,2,24
0,173.0,-9962.8561,-9648.072100000001,11,8,3,2,24
0,174.0,-9962.9953,-9648.2113,12,8,2,2,24
0,175.0,-9967.351,-9652.567000000001,11,9,2,2,24
0,176.0,-9963.8567,-9649.0727,12,8,2,2,24
0,177.0,-9963.0316,-9648.2476,11,9,2,2,24
0,178.0,-9961.4927,-9646.708700000001,12,8,2,2,24
0,179.0,-9962.2668,-9647.4828,12,8,2,2,24
0,180.0,-9961.7644,-9646.9804,12,8,2,2,24
0,181.0,-9965.3458,-9650.5618,12,8,2,2,24
0,182.0,-9966.9793,-9652.195300000001,12,8,2,2,24
0,183.0,-9962.749,-9647.965,12,7,3,2,24
0,184.0,-9959.0681,-9644.2841,12,8,2,2,24
0,185.0,-9965.6692,-9650.8852,12,7,3,2,24
0,186.0,-9963.9788,-9649.194800000001,12,8,2,2,24
0,187.0,-9966.0113,-9651.2273,10,10,2,2,24
0,188.0,-9963.8244,-9649.0404,13,7,2,2,24
0,189.0,-9964.2719,-9649.4879,13,7,2,2,24
0,190.0,-9965.3133,-9650.5293,10,10,2,2,24
0,191.0,-9963.8898,-9649.105800000001,12,8,2,2,24
0,192.0,-9963.9338,-9649.149800000001,13,6,3,2,24
0,193.0,-9962.5073,-9647.7233,14,5,3,2,24
0,194.0,-9965.1045,-9650.3205,13,6,3,2,24
0,195.0,-9967.186,-9652.402,14,5,3,2,24
0,196.0,-9963.796,-9649.012,14,5,3,2,24
0,197.0,-9966.5591,-9651.7751,11,8,3,2,24
0,198.0,-9962.3129,-9647.528900000001,14,5,3,2,24
0,199.0,-9964.5347,-9649.7507,12,7,3,2,24
0,200.0,-9962.2828,-9647.498800000001,12,7,3,2,24
0,201.0,-9965.3837,-9650.5997,13,6,3,2,24
0,202.0,-9963.6447,-9648.860700000001,13,7,2,2,24
0,203.0,-9961.8884,-9647.1044,12,8,2,2,24
0,204.0,-9966.6413,-9651.8573,13,7,2,2,24
0,205.0,-9965.8613,-9651.0773,13,7,2,2,24
0,206.0,-9965.131,-9650.347,13,7,2,2,24
0,207.0,-9963.7257,-9648.941700000001,12,8,2,2,24
0,208.0,-9967.9403,-9653.1563,11,9,2,2,24
0,209.0,-9964.3092,-9649.5252,10,10,2,2,24
0,210.0,-9962.7259,-9647.9419,12,8,2,2,24
0,211.0,-9961.6331,-9646.8491,12,8,2,2,24
0,212.0,-9965.0215,-9650.237500000001,12,8,2,2,24
0,213.0,-9963.7861,-9649.0021,12,8,2,2,24
0,214.0,-9966.9973,-9652.213300000001,12,8,2,2,24
0,215.0,-9966.6581,-9651.8741,12,8,2,2,24
0,216.0,-9966.0684,-9651.2844,13,7,2,2,24
0,217.0,-9963.4747,-9648.690700000001,13,7,2,2,24
0,218.0,-9961.5221,-9646.7381,11,9,2,2,24
0,219.0,-9964.6531,-9649.8691,11,9,2,2,24
0,220.0,-9967.1372,-9652.3532,12,8,2,2,24
0,221.0,-9963.9742,-9649.190200000001,13,7,2,2,24
0,222.0,-9964.9198,-9650.1358,12,8,2,2,24
0,223.0,-9965.6007,-9650.816700000001,13,7,2,2,24
0,224.0,-9962.1212,-9647.3372,13,7,2,2,24
0,225.0,-9964.0788,-9649.2948,13,7,2,2,24
0,226.0,-9965.9446,-9651.160600000001,11,9,2,2,24
0,227.0,-9965.2236,-9650.4396,13,7,2,2,24
0,228.0,-9962.6706,-9647.8866,13,7,2,2,24
0,229.0,-9965.3918,-9650.6078,13,7,2,2,24
0,230.0,-9966.8336,-9652.0496,13,7,2,2,24
0,231.0,-9962.1258,-9647.3418,13,7,2,2,24
0,232.0,-9962.3292,-9647.5452,12,8,2,2,24
0,233.0,-9967.8126,-9653.0286,12,8,2,2,24
0,234.0,-9965.0004,-9650.216400000001,11,9,2,2,24
0,235.0,-9962.7659,-9647.9819,13,7,2,2,24
0,236.0,-9967.4085,-9652.6245,13,7,2,2,24
0,237.0,-9962.3473,-9647.5633,12,8,2,2,24
0,238.0,-9961.8594,-9647.0754,12,8,2,2,24
0,239.0,-9966.105,-9651.321,13,7,2,2,24
0,240.0,-9966.8885,-9652.1045,13,7,2,2,24
0,241.0,-9963.5313,-9648.7473,12,8,2,2,24
0,242.0,-9961.3848,-9646.6008,12,8,2,2,24
0,243.0,-9964.1752,-9649.3912,12,8,2,2,24
0,244.0,-9967.9577,-9653.173700000001,12,8,2,2,24
0,245.0,-9963.5648,-9648.7808,12,8,2,2,24
0,246.0,-9964.6249,-9649.840900000001,13,7,2,2,24
0,247.0,-9968.0357,-9653.2517,13,7,2,2,24
0,248.0,-9969.6202,-9654.8362,12,8,2,2,24
0,249.0,-9963.5817,-9648.797700000001,13,7,2,2,24
0,250.0,-9960.8854,-9646.1014,12,8,2,2,24
0,251.0,-9966.7154,-9651.9314,13,7,2,2,24
