,Time,Tot_Energy,Free_Energy,OH2,OH,O,OO,All
0,0.0,-10060.377,-9671.0175,4,6,2,12,24
0,1.0,-9994.5194,-9605.159899999999,8,4,0,12,24
0,2.0,-10001.703,-9612.343499999999,8,4,0,12,24
0,3.0,-10001.364,-9612.0045,8,4,0,12,24
0,4.0,-10009.179,-9619.8195,9,3,0,12,24
0,5.0,-10008.086,-9618.726499999999,9,3,0,12,24
0,6.0,-10005.612,-9616.252499999999,8,4,0,12,24
0,7.0,-10008.524,-9619.164499999999,8,4,0,12,24
0,8.0,-10012.019,-9622.6595,9,3,1,11,24
0,9.0,-10011.291,-9621.931499999999,9,3,1,11,24
0,10.0,-10011.759,-9622.3995,9,3,1,11,24
0,11.0,-10012.635,-9623.2755,9,3,2,10,24
0,12.0,-10015.502,-9626.1425,9,3,2,10,24
0,13.0,-10012.242,-9622.8825,8,4,2,10,24
0,14.0,-10016.259,-9626.8995,9,3,2,10,24
0,15.0,-10013.705,-9624.3455,9,3,2,10,24
0,16.0,-10012.192,-9622.832499999999,8,4,2,10,24
0,17.0,-10012.86,-9623.5005,9,3,2,10,24
0,18.0,-10016.027,-9626.6675,8,4,2,10,24
0,19.0,-10012.229,-9622.869499999999,9,3,2,10,24
0,20.0,-10016.877,-9627.5175,10,2,2,10,24
0,21.0,-10012.896,-9623.5365,10,2,2,10,24
0,22.0,-10017.013,-9627.6535,11,1,2,10,24
0,23.0,-10011.919,-9622.5595,11,1,2,10,24
0,24.0,-10016.6,-9627.2405,9,3,2,10,24
0,25.0,-10013.93,-9624.5705,11,1,2,10,24
0,26.0,-10018.208,-9628.8485,10,2,2,10,24
0,27.0,-10018.529,-9629.1695,11,1,2,10,24
0,28.0,-10016.339,-9626.9795,11,1,2,10,24
0,29.0,-10014.386,-9625.0265,10,2,2,10,24
0,30.0,-10018.172,-9628.8125,10,2,2,10,24
0,31.0,-10017.26,-9627.9005,11,1,2,10,24
0,32.0,-10014.172,-9624.8125,9,3,2,10,24
0,33.0,-10012.883,-9623.5235,10,2,2,10,24
0,34.0,-10017.665,-9628.3055,10,2,2,10,24
0,35.0,-10018.713,-9629.3535,10,2,2,10,24
0,36.0,-10011.124,-9621.7645,10,2,2,10,24
0,37.0,-10018.77,-9629.4105,10,2,2,10,24
0,38.0,-10023.057,-9633.6975,9,3,2,10,24
0,39.0,-10017.4,-9628.0405,9,3,2,10,24
0,40.0,-10015.578,-9626.218499999999,10,2,2,10,24
0,41.0,-10018.262,-9628.9025,11,1,2,10,24
0,42.0,-10014.173,-9624.8135,10,2,2,10,24
0,43.0,-10020.265,-9630.905499999999,10,2,2,10,24
0,44.0,-10017.413,-9628.0535,11,1,2,10,24
0,45.0,-10019.191,-9629.8315,10,2,2,10,24
0,46.0,-10016.751,-9627.3915,11,1,2,10,24
0,47.0,-10020.403,-9631.0435,9,3,2,10,24
0,48.0,-10017.828,-9628.468499999999,10,2,2,10,24
0,49.0,-10018.835,-9629.475499999999,10,2,2,10,24
0,50.0,-10017.168,-9627.8085,11,1,2,10,24
0,51.0,-10018.803,-9629.4435,11,1,2,10,24
0,52.0,-10014.758,-9625.3985,11,1,2,10,24
0,53.0,-10019.241,-9629.8815,11,1,2,10,24
0,54.0,-10018.483,-9629.1235,11,1,2,10,24
0,55.0,-10021.404,-9632.0445,10,2,2,10,24
0,56.0,-10017.801,-9628.441499999999,7,5,2,10,24
0,57.0,-10021.415,-9632.0555,10,2,2,10,24
0,58.0,-10017.167,-9627.807499999999,9,3,2,10,24
