,Time,Tot_Energy,Free_Energy,OH2,OH,O,All
0,0.0,-10055.303,-9692.053,0,15,9,24
0,1.0,-9997.7197,-9634.4697,0,12,12,24
0,2.0,-9994.6219,-9631.3719,0,12,12,24
0,3.0,-9993.3556,-9630.1056,0,12,12,24
0,4.0,-9998.4864,-9635.2364,0,11,13,24
0,5.0,-10001.527,-9638.277,0,10,14,24
0,6.0,-10003.538,-9640.288,0,10,14,24
0,7.0,-10001.067,-9637.817,0,10,14,24
0,8.0,-10005.753,-9642.503,0,10,14,24
0,9.0,-10001.556,-9638.306,0,10,14,24
0,10.0,-10008.013,-9644.763,0,9,15,24
0,11.0,-10004.316,-9641.066,0,9,15,24
0,12.0,-10004.384,-9641.134,0,9,15,24
0,13.0,-10006.316,-9643.066,0,8,16,24
0,14.0,-10001.45,-9638.2,0,8,16,24
0,15.0,-10005.622,-9642.372,0,8,16,24
0,16.0,-10002.925,-9639.675,0,8,16,24
0,17.0,-10006.339,-9643.089,0,8,16,24
0,18.0,-10009.765,-9646.515,0,8,16,24
0,19.0,-10005.07,-9641.82,0,8,16,24
0,20.0,-10008.736,-9645.486,0,7,17,24
0,21.0,-10007.502,-9644.252,0,8,16,24
0,22.0,-10007.046,-9643.796,0,9,15,24
0,23.0,-10010.45,-9647.2,0,8,16,24
0,24.0,-10008.467,-9645.217,0,8,16,24
0,25.0,-10008.568,-9645.318,0,7,17,24
0,26.0,-10009.129,-9645.879,0,7,17,24
0,27.0,-10003.782,-9640.532,0,7,17,24
0,28.0,-10006.255,-9643.005,0,8,16,24
0,29.0,-10009.571,-9646.321,0,8,16,24
0,30.0,-10007.301,-9644.051,0,9,15,24
0,31.0,-10009.486,-9646.236,0,8,16,24
0,32.0,-10009.453,-9646.203,0,7,17,24
0,33.0,-10006.142,-9642.892,0,7,17,24
0,34.0,-10007.157,-9643.907,0,7,17,24
0,35.0,-10008.905,-9645.655,0,7,17,24
0,36.0,-10011.198,-9647.948,0,8,16,24
0,37.0,-10004.019,-9640.769,0,7,17,24
0,38.0,-10007.05,-9643.8,0,6,18,24
0,39.0,-10009.541,-9646.291,0,7,17,24
0,40.0,-10009.815,-9646.565,0,7,17,24
0,41.0,-10004.974,-9641.724,0,5,19,24
0,42.0,-10009.508,-9646.258,0,5,19,24
0,43.0,-10008.714,-9645.464,0,5,19,24
0,44.0,-10010.816,-9647.566,0,5,19,24
0,45.0,-10001.885,-9638.635,0,6,18,24
0,46.0,-10014.487,-9651.237,0,5,19,24
0,47.0,-10008.203,-9644.953,0,5,19,24
0,48.0,-10004.811,-9641.561,0,4,20,24
0,49.0,-10006.265,-9643.015,0,4,20,24
0,50.0,-10007.953,-9644.703,0,5,19,24
0,51.0,-10009.429,-9646.179,0,5,19,24
0,52.0,-10007.696,-9644.446,0,4,20,24
0,53.0,-10010.425,-9647.175,0,4,20,24
0,54.0,-10012.621,-9649.371,0,5,19,24
0,55.0,-10011.704,-9648.454,0,3,21,24
0,56.0,-10012.125,-9648.875,0,3,21,24
0,57.0,-10008.07,-9644.82,0,4,20,24
0,58.0,-10013.603,-9650.353,0,3,21,24
0,59.0,-10010.643,-9647.393,0,4,20,24
0,60.0,-10010.356,-9647.106,0,5,19,24
0,61.0,-10005.459,-9642.209,0,5,19,24
0,62.0,-10009.858,-9646.608,0,4,20,24
0,63.0,-10011.791,-9648.541,0,5,19,24
0,64.0,-10008.115,-9644.865,0,5,19,24
0,65.0,-10012.761,-9649.511,0,5,19,24
0,66.0,-10006.745,-9643.495,0,5,19,24
0,67.0,-10012.419,-9649.169,0,5,19,24
0,68.0,-10009.701,-9646.451,0,5,19,24
0,69.0,-10010.647,-9647.397,0,5,19,24
0,70.0,-10007.836,-9644.586,0,5,19,24
0,71.0,-10007.612,-9644.362,0,5,19,24
0,72.0,-10011.237,-9647.987,0,5,19,24
0,73.0,-10009.113,-9645.863,0,5,19,24
0,74.0,-10011.368,-9648.118,0,6,18,24
0,75.0,-10006.99,-9643.74,0,6,18,24
0,76.0,-10010.4,-9647.15,0,5,19,24
0,77.0,-10006.785,-9643.535,0,6,18,24
0,78.0,-10010.99,-9647.74,0,5,19,24
0,79.0,-10011.953,-9648.703,0,6,18,24
0,80.0,-10009.402,-9646.152,0,6,18,24
0,81.0,-10010.695,-9647.445,0,6,18,24
0,82.0,-10011.982,-9648.732,0,5,19,24
0,83.0,-10009.951,-9646.701,0,4,20,24
0,84.0,-10013.376,-9650.126,0,4,20,24
0,85.0,-10010.408,-9647.158,0,4,20,24
0,86.0,-10012.483,-9649.233,0,4,20,24
0,87.0,-10010.494,-9647.244,0,4,20,24
0,88.0,-10015.107,-9651.857,0,4,20,24
0,89.0,-10013.063,-9649.813,0,5,19,24
0,90.0,-10011.312,-9648.062,0,5,19,24
0,91.0,-10014.649,-9651.399,0,4,20,24
0,92.0,-10010.356,-9647.106,0,4,20,24
0,93.0,-10012.845,-9649.595,0,4,20,24
0,94.0,-10012.85,-9649.6,0,4,20,24
0,95.0,-10011.014,-9647.764,0,4,20,24
0,96.0,-10008.826,-9645.576,0,4,20,24
0,97.0,-10011.169,-9647.919,0,4,20,24
0,98.0,-10013.842,-9650.592,0,5,19,24
0,99.0,-10011.379,-9648.129,0,4,20,24
0,100.0,-10011.711,-9648.461,0,4,20,24
0,101.0,-10012.224,-9648.974,0,4,20,24
0,102.0,-10010.151,-9646.901,0,4,20,24
0,103.0,-10012.23,-9648.98,0,4,20,24
0,104.0,-10009.11,-9645.86,0,5,19,24
0,105.0,-10009.213,-9645.963,0,4,20,24
0,106.0,-10011.307,-9648.057,0,4,20,24
0,107.0,-10013.927,-9650.677,0,5,19,24
0,108.0,-10011.896,-9648.646,0,5,19,24
0,109.0,-10014.278,-9651.028,0,6,18,24
0,110.0,-10012.798,-9649.548,0,6,18,24
0,111.0,-10015.173,-9651.923,0,5,19,24
0,112.0,-10010.644,-9647.394,0,6,18,24
0,113.0,-10015.406,-9652.156,0,5,19,24
0,114.0,-10012.215,-9648.965,0,5,19,24
0,115.0,-10013.264,-9650.014,0,5,19,24
0,116.0,-10013.23,-9649.98,0,5,19,24
0,117.0,-10017.771,-9654.521,0,3,21,24
0,118.0,-10014.593,-9651.343,0,4,20,24
0,119.0,-10014.22,-9650.97,0,4,20,24
0,120.0,-10012.042,-9648.792,0,3,21,24
0,121.0,-10012.578,-9649.328,0,3,21,24
0,122.0,-10014.241,-9650.991,0,2,22,24
0,123.0,-10013.4,-9650.15,0,2,22,24
0,124.0,-10013.841,-9650.591,0,2,22,24
0,125.0,-10012.6,-9649.35,0,4,20,24
0,126.0,-10015.983,-9652.733,0,3,21,24
0,127.0,-10012.406,-9649.156,0,2,22,24
0,128.0,-10012.705,-9649.455,0,3,21,24
0,129.0,-10012.195,-9648.945,0,3,21,24
0,130.0,-10012.662,-9649.412,0,3,21,24
0,131.0,-10013.255,-9650.005,0,2,22,24
0,132.0,-10006.742,-9643.492,0,4,20,24
0,133.0,-10012.96,-9649.71,0,2,22,24
0,134.0,-10012.955,-9649.705,0,3,21,24
0,135.0,-10014.247,-9650.997,0,2,22,24
0,136.0,-10012.996,-9649.746,0,2,22,24
0,137.0,-10010.9,-9647.65,0,2,22,24
0,138.0,-10011.351,-9648.101,0,2,22,24
0,139.0,-10011.492,-9648.242,0,2,22,24
0,140.0,-10014.601,-9651.351,0,2,22,24
0,141.0,-10009.938,-9646.688,0,2,22,24
0,142.0,-10013.105,-9649.855,0,2,22,24
0,143.0,-10010.719,-9647.469,0,2,22,24
0,144.0,-10014.135,-9650.885,0,2,22,24
0,145.0,-10017.064,-9653.814,0,2,22,24
0,146.0,-10011.704,-9648.454,0,2,22,24
0,147.0,-10012.318,-9649.068,0,2,22,24
0,148.0,-10013.734,-9650.484,0,2,22,24
0,149.0,-10008.45,-9645.2,0,2,22,24
0,150.0,-10011.595,-9648.345,0,2,22,24
0,151.0,-10011.537,-9648.287,0,3,21,24
0,152.0,-10010.037,-9646.787,0,3,21,24
0,153.0,-10011.807,-9648.557,0,3,21,24
0,154.0,-10010.259,-9647.009,0,2,22,24
0,155.0,-10009.215,-9645.965,0,2,22,24
0,156.0,-10008.969,-9645.719,0,2,22,24
0,157.0,-10011.592,-9648.342,0,3,21,24
0,158.0,-10008.095,-9644.845,0,4,20,24
0,159.0,-10012.511,-9649.261,0,3,21,24
0,160.0,-10010.51,-9647.26,0,3,21,24
0,161.0,-10008.575,-9645.325,0,3,21,24
0,162.0,-10010.587,-9647.337,0,3,21,24
0,163.0,-10009.73,-9646.48,0,3,21,24
0,164.0,-10015.416,-9652.166,0,3,21,24
0,165.0,-10010.927,-9647.677,0,3,21,24
0,166.0,-10012.884,-9649.634,0,3,21,24
0,167.0,-10009.583,-9646.333,0,3,21,24
0,168.0,-10010.642,-9647.392,0,4,20,24
0,169.0,-10013.334,-9650.084,0,5,19,24
0,170.0,-10011.849,-9648.599,0,5,19,24
0,171.0,-10012.129,-9648.879,0,5,19,24
0,172.0,-10012.159,-9648.909,0,4,20,24
0,173.0,-10012.396,-9649.146,0,4,20,24
0,174.0,-10011.294,-9648.044,0,4,20,24
0,175.0,-10008.59,-9645.34,0,4,20,24
0,176.0,-10008.203,-9644.953,0,3,21,24
0,177.0,-10010.99,-9647.74,0,3,21,24
0,178.0,-10008.62,-9645.37,0,4,20,24
0,179.0,-10013.496,-9650.246,0,3,21,24
0,180.0,-10012.99,-9649.74,0,3,21,24
0,181.0,-10011.621,-9648.371,0,3,21,24
0,182.0,-10009.467,-9646.217,0,3,21,24
0,183.0,-10012.378,-9649.128,0,3,21,24
0,184.0,-10013.075,-9649.825,0,3,21,24
0,185.0,-10010.561,-9647.311,0,3,21,24
0,186.0,-10010.472,-9647.222,0,4,20,24
