,Time,Tot_Energy,Free_Energy,OH2,OH,O,All
0,0.0,-10023.494,-9676.272500000001,0,9,15,24
0,1.0,-9964.5477,-9617.3262,0,7,17,24
0,2.0,-9958.3385,-9611.117,0,7,17,24
0,3.0,-9963.7311,-9616.509600000001,0,7,17,24
0,4.0,-9970.0756,-9622.8541,0,8,16,24
0,5.0,-9969.1658,-9621.944300000001,0,7,17,24
0,6.0,-9971.3348,-9624.1133,0,6,18,24
0,7.0,-9967.6818,-9620.4603,0,6,18,24
0,8.0,-9974.8406,-9627.6191,0,6,18,24
0,9.0,-9971.6104,-9624.3889,0,6,18,24
0,10.0,-9975.8807,-9628.6592,0,4,20,24
0,11.0,-9973.3373,-9626.1158,0,4,20,24
0,12.0,-9973.2303,-9626.0088,0,5,19,24
0,13.0,-9977.1554,-9629.9339,0,4,20,24
0,14.0,-9973.4151,-9626.1936,0,4,20,24
0,15.0,-9974.7537,-9627.5322,0,4,20,24
0,16.0,-9977.4592,-9630.2377,0,4,20,24
0,17.0,-9972.3605,-9625.139000000001,0,5,19,24
0,18.0,-9977.6772,-9630.4557,0,3,21,24
0,19.0,-9977.7525,-9630.531,0,5,19,24
0,20.0,-9973.5083,-9626.2868,0,4,20,24
0,21.0,-9975.329,-9628.1075,0,3,21,24
0,22.0,-9974.0387,-9626.8172,0,4,20,24
0,23.0,-9977.554,-9630.3325,0,3,21,24
0,24.0,-9974.8006,-9627.5791,0,5,19,24
0,25.0,-9978.2006,-9630.9791,0,3,21,24
0,26.0,-9977.2315,-9630.01,0,5,19,24
0,27.0,-9977.9579,-9630.7364,0,3,21,24
0,28.0,-9976.9805,-9629.759,0,4,20,24
0,29.0,-9980.6934,-9633.4719,0,4,20,24
0,30.0,-9974.7644,-9627.5429,0,3,21,24
0,31.0,-9976.6336,-9629.4121,0,3,21,24
0,32.0,-9974.8462,-9627.6247,0,3,21,24
0,33.0,-9979.2883,-9632.0668,0,3,21,24
0,34.0,-9975.9759,-9628.7544,0,3,21,24
