,Time,Tot_Energy,Free_Energy,OH2,OH,O,All
0,0.0,-10004.363,-9685.3725,0,7,17,24
0,1.0,-9939.9866,-9620.9961,0,5,19,24
0,2.0,-9945.246,-9626.2555,0,5,19,24
0,3.0,-9952.7584,-9633.7679,0,5,19,24
0,4.0,-9951.068,-9632.0775,0,5,19,24
0,5.0,-9952.9602,-9633.9697,0,5,19,24
0,6.0,-9951.7745,-9632.784,0,5,19,24
0,7.0,-9955.7282,-9636.7377,0,5,19,24
0,8.0,-9955.2426,-9636.2521,0,5,19,24
0,9.0,-9952.3544,-9633.3639,0,5,19,24
0,10.0,-9958.2825,-9639.292,0,5,19,24
0,11.0,-9954.5219,-9635.5314,0,5,19,24
0,12.0,-9954.903,-9635.9125,0,5,19,24
0,13.0,-9955.8245,-9636.834,0,5,19,24
0,14.0,-9953.1716,-9634.1811,0,4,20,24
0,15.0,-9955.9148,-9636.9243,0,5,19,24
0,16.0,-9963.8723,-9644.881800000001,0,5,19,24
0,17.0,-9962.7709,-9643.7804,0,4,20,24
0,18.0,-9964.2746,-9645.2841,0,5,19,24
0,19.0,-9964.0437,-9645.0532,0,5,19,24
0,20.0,-9968.0586,-9649.0681,0,5,19,24
0,21.0,-9963.2664,-9644.2759,0,5,19,24
0,22.0,-9965.5084,-9646.5179,0,5,19,24
0,23.0,-9964.382,-9645.3915,0,5,19,24
0,24.0,-9968.3914,-9649.4009,0,5,19,24
0,25.0,-9966.814,-9647.8235,0,5,19,24
0,26.0,-9964.1635,-9645.173,0,5,19,24
0,27.0,-9966.6972,-9647.7067,0,5,19,24
0,28.0,-9965.0536,-9646.0631,0,5,19,24
0,29.0,-9967.919,-9648.9285,0,5,19,24
0,30.0,-9966.9271,-9647.9366,0,6,18,24
0,31.0,-9963.9625,-9644.972,0,6,18,24
0,32.0,-9968.5543,-9649.5638,0,6,18,24
0,33.0,-9966.5015,-9647.511,0,5,19,24
0,34.0,-9965.0906,-9646.1001,0,5,19,24
0,35.0,-9965.7341,-9646.7436,0,5,19,24
0,36.0,-9968.1703,-9649.1798,0,5,19,24
0,37.0,-9966.6675,-9647.677,0,4,20,24
0,38.0,-9963.8204,-9644.8299,0,4,20,24
0,39.0,-9970.0799,-9651.0894,0,5,19,24
0,40.0,-9965.9462,-9646.9557,0,5,19,24
0,41.0,-9967.4718,-9648.4813,0,6,18,24
0,42.0,-9966.1242,-9647.1337,0,4,20,24
0,43.0,-9970.1588,-9651.1683,0,5,19,24
0,44.0,-9965.6779,-9646.6874,0,3,21,24
0,45.0,-9969.5959,-9650.6054,0,5,19,24
0,46.0,-9968.1585,-9649.168,0,4,20,24
0,47.0,-9966.6392,-9647.6487,0,4,20,24
0,48.0,-9972.5791,-9653.588600000001,0,4,20,24
0,49.0,-9969.2521,-9650.2616,0,4,20,24
0,50.0,-9969.4383,-9650.4478,0,4,20,24
0,51.0,-9971.1081,-9652.1176,0,4,20,24
0,52.0,-9971.5898,-9652.5993,0,5,19,24
0,53.0,-9970.462,-9651.4715,0,5,19,24
0,54.0,-9968.108,-9649.1175,0,4,20,24
0,55.0,-9971.4722,-9652.4817,0,4,20,24
0,56.0,-9969.7336,-9650.7431,0,4,20,24
0,57.0,-9967.5811,-9648.5906,0,4,20,24
0,58.0,-9965.1241,-9646.133600000001,0,4,20,24
0,59.0,-9968.4898,-9649.4993,0,3,21,24
0,60.0,-9971.2193,-9652.2288,0,3,21,24
0,61.0,-9971.6945,-9652.704,0,3,21,24
0,62.0,-9968.8385,-9649.848,0,4,20,24
0,63.0,-9970.2031,-9651.2126,0,5,19,24
0,64.0,-9968.8878,-9649.8973,0,4,20,24
0,65.0,-9974.345,-9655.3545,0,5,19,24
0,66.0,-9970.8602,-9651.8697,0,4,20,24
0,67.0,-9969.3704,-9650.3799,0,3,21,24
0,68.0,-9967.2929,-9648.3024,0,3,21,24
0,69.0,-9971.7193,-9652.7288,0,4,20,24
0,70.0,-9969.7741,-9650.7836,0,4,20,24
0,71.0,-9970.6781,-9651.6876,0,4,20,24
0,72.0,-9968.4852,-9649.4947,0,4,20,24
0,73.0,-9970.3251,-9651.3346,0,4,20,24
0,74.0,-9966.7227,-9647.7322,0,4,20,24
0,75.0,-9970.2473,-9651.256800000001,0,3,21,24
0,76.0,-9971.5965,-9652.606,0,4,20,24
0,77.0,-9970.5504,-9651.5599,0,4,20,24
0,78.0,-9973.0465,-9654.056,0,4,20,24
0,79.0,-9968.9956,-9650.0051,0,4,20,24
0,80.0,-9972.1392,-9653.1487,0,4,20,24
0,81.0,-9970.6125,-9651.622,0,3,21,24
0,82.0,-9969.4269,-9650.4364,0,4,20,24
0,83.0,-9973.4165,-9654.426,0,3,21,24
0,84.0,-9970.7279,-9651.7374,0,4,20,24
0,85.0,-9971.0821,-9652.0916,0,4,20,24
0,86.0,-9968.5849,-9649.5944,0,4,20,24
0,87.0,-9969.8874,-9650.8969,0,4,20,24
0,88.0,-9966.6138,-9647.6233,0,4,20,24
0,89.0,-9972.0221,-9653.0316,0,4,20,24
0,90.0,-9968.3231,-9649.3326,0,3,21,24
0,91.0,-9967.8805,-9648.89,0,4,20,24
0,92.0,-9968.651,-9649.6605,0,4,20,24
0,93.0,-9967.5822,-9648.5917,0,3,21,24
0,94.0,-9968.1469,-9649.1564,0,4,20,24
0,95.0,-9970.7862,-9651.7957,0,4,20,24
0,96.0,-9969.8448,-9650.8543,0,4,20,24
0,97.0,-9969.077,-9650.0865,0,3,21,24
0,98.0,-9967.2303,-9648.2398,0,3,21,24
0,99.0,-9972.1933,-9653.202800000001,0,3,21,24
0,100.0,-9968.092,-9649.1015,0,4,20,24
0,101.0,-9971.4022,-9652.4117,0,4,20,24
0,102.0,-9967.5286,-9648.5381,0,4,20,24
0,103.0,-9967.5698,-9648.5793,0,4,20,24
0,104.0,-9970.8651,-9651.874600000001,0,4,20,24
0,105.0,-9963.918,-9644.9275,0,3,21,24
0,106.0,-9966.9201,-9647.9296,0,4,20,24
0,107.0,-9964.8294,-9645.8389,0,4,20,24
0,108.0,-9969.6895,-9650.699,0,4,20,24
0,109.0,-9964.4995,-9645.509,0,4,20,24
0,110.0,-9966.5067,-9647.5162,0,3,21,24
0,111.0,-9964.9334,-9645.9429,0,4,20,24
0,112.0,-9968.2157,-9649.2252,0,4,20,24
0,113.0,-9964.624,-9645.6335,0,4,20,24
0,114.0,-9967.8403,-9648.8498,0,4,20,24
0,115.0,-9969.7587,-9650.7682,0,4,20,24
0,116.0,-9969.9369,-9650.9464,0,5,19,24
0,117.0,-9965.4537,-9646.4632,0,4,20,24
0,118.0,-9966.0671,-9647.0766,0,4,20,24
0,119.0,-9967.8098,-9648.819300000001,0,4,20,24
0,120.0,-9964.8478,-9645.8573,0,3,21,24
0,121.0,-9970.4136,-9651.4231,0,5,19,24
0,122.0,-9968.6257,-9649.6352,0,4,20,24
0,123.0,-9971.9647,-9652.9742,0,4,20,24
0,124.0,-9970.0818,-9651.0913,0,3,21,24
0,125.0,-9966.3051,-9647.3146,0,3,21,24
0,126.0,-9968.6786,-9649.6881,0,4,20,24
0,127.0,-9966.2167,-9647.226200000001,0,4,20,24
0,128.0,-9965.4863,-9646.4958,0,4,20,24
0,129.0,-9970.6727,-9651.6822,0,4,20,24
0,130.0,-9967.1391,-9648.1486,0,3,21,24
0,131.0,-9969.3007,-9650.3102,0,4,20,24
0,132.0,-9969.0632,-9650.0727,0,4,20,24
0,133.0,-9971.997,-9653.0065,0,5,19,24
0,134.0,-9970.8917,-9651.9012,0,5,19,24
0,135.0,-9970.1265,-9651.136,0,4,20,24
0,136.0,-9969.3787,-9650.3882,0,5,19,24
0,137.0,-9969.0273,-9650.0368,0,5,19,24
0,138.0,-9970.4072,-9651.4167,0,5,19,24
0,139.0,-9972.7529,-9653.7624,0,5,19,24
0,140.0,-9970.2203,-9651.229800000001,0,5,19,24
0,141.0,-9966.7872,-9647.7967,0,5,19,24
0,142.0,-9968.7277,-9649.7372,0,4,20,24
0,143.0,-9973.3437,-9654.3532,0,5,19,24
0,144.0,-9967.5765,-9648.586,0,4,20,24
0,145.0,-9970.4706,-9651.4801,0,5,19,24
0,146.0,-9971.3345,-9652.344000000001,0,4,20,24
0,147.0,-9969.191,-9650.2005,0,4,20,24
0,148.0,-9970.9122,-9651.9217,0,4,20,24
0,149.0,-9970.1425,-9651.152,0,5,19,24
0,150.0,-9965.4464,-9646.4559,0,5,19,24
0,151.0,-9968.2843,-9649.2938,0,5,19,24
0,152.0,-9969.8802,-9650.8897,0,5,19,24
0,153.0,-9966.4471,-9647.4566,0,5,19,24
0,154.0,-9968.8209,-9649.8304,0,5,19,24
