,Time,Tot_Energy,Free_Energy,OH2,OH,O,OO,All
0,0.0,-10005.188,-9682.408000000001,5,5,8,6,24
0,1.0,-9941.8043,-9619.024300000001,5,7,6,6,24
0,2.0,-9938.2434,-9615.4634,5,9,4,6,24
0,3.0,-9943.8551,-9621.075100000002,5,10,3,6,24
0,4.0,-9943.5352,-9620.755200000001,5,9,4,6,24
0,5.0,-9948.3894,-9625.609400000001,6,10,2,6,24
0,6.0,-9949.414,-9626.634000000002,6,10,2,6,24
0,7.0,-9947.0781,-9624.298100000002,7,9,2,6,24
0,8.0,-9953.1795,-9630.399500000001,7,9,2,6,24
0,9.0,-9952.9988,-9630.2188,6,10,2,6,24
0,10.0,-9949.41,-9626.630000000001,6,10,2,6,24
0,11.0,-9952.346,-9629.566,5,11,2,6,24
0,12.0,-9952.7379,-9629.957900000001,5,11,2,6,24
0,13.0,-9949.0366,-9626.2566,6,9,3,6,24
0,14.0,-9951.64,-9628.86,7,9,2,6,24
0,15.0,-9950.9344,-9628.154400000001,7,9,2,6,24
0,16.0,-9946.9566,-9624.1766,8,8,2,6,24
0,17.0,-9951.8904,-9629.110400000001,8,8,2,6,24
0,18.0,-9951.0233,-9628.243300000002,7,9,2,6,24
0,19.0,-9949.7689,-9626.9889,8,8,2,6,24
0,20.0,-9951.4645,-9628.684500000001,8,8,2,6,24
0,21.0,-9952.6768,-9629.8968,8,8,2,6,24
0,22.0,-9958.5414,-9635.761400000001,8,8,2,6,24
0,23.0,-9952.3613,-9629.581300000002,8,8,2,6,24
0,24.0,-9955.2808,-9632.500800000002,9,7,2,6,24
0,25.0,-9949.6133,-9626.833300000002,9,7,2,6,24
0,26.0,-9953.335,-9630.555,8,8,2,6,24
0,27.0,-9954.455,-9631.675000000001,9,7,2,6,24
0,28.0,-9952.6806,-9629.9006,9,7,2,6,24
0,29.0,-9958.4695,-9635.6895,9,7,2,6,24
0,30.0,-9955.2822,-9632.5022,9,7,2,6,24
0,31.0,-9956.5026,-9633.722600000001,9,7,2,6,24
0,32.0,-9954.7985,-9632.018500000002,7,9,2,6,24
0,33.0,-9951.9338,-9629.153800000002,9,7,2,6,24
0,34.0,-9952.6911,-9629.911100000001,10,6,2,6,24
0,35.0,-9959.8866,-9637.106600000001,9,7,2,6,24
0,36.0,-9958.0069,-9635.226900000001,9,7,2,6,24
0,37.0,-9954.5056,-9631.725600000002,10,6,2,6,24
0,38.0,-9955.6923,-9632.912300000002,10,6,2,6,24
0,39.0,-9959.7682,-9636.988200000002,10,6,2,6,24
0,40.0,-9956.772,-9633.992000000002,10,6,2,6,24
0,41.0,-9955.9426,-9633.162600000001,10,6,2,6,24
0,42.0,-9957.9501,-9635.170100000001,10,6,2,6,24
0,43.0,-9955.6076,-9632.8276,10,6,2,6,24
0,44.0,-9954.1633,-9631.383300000001,10,6,2,6,24
0,45.0,-9952.7785,-9629.998500000002,9,7,2,6,24
0,46.0,-9956.6171,-9633.8371,10,6,2,6,24
0,47.0,-9962.1911,-9639.411100000001,10,6,2,6,24
0,48.0,-9956.0227,-9633.2427,10,6,2,6,24
0,49.0,-9955.6741,-9632.894100000001,10,6,2,6,24
0,50.0,-9956.1552,-9633.3752,10,6,2,6,24
0,51.0,-9958.8131,-9636.0331,10,6,2,6,24
0,52.0,-9956.8842,-9634.104200000002,10,6,2,6,24
0,53.0,-9959.3106,-9636.530600000002,10,6,2,6,24
0,54.0,-9952.6669,-9629.886900000001,9,7,2,6,24
0,55.0,-9953.9633,-9631.1833,10,6,2,6,24
0,56.0,-9957.1463,-9634.366300000002,10,6,2,6,24
0,57.0,-9958.9439,-9636.163900000001,10,6,2,6,24
0,58.0,-9954.8476,-9632.0676,8,8,2,6,24
0,59.0,-9962.6703,-9639.890300000001,9,7,2,6,24
0,60.0,-9959.0813,-9636.301300000001,10,6,2,6,24
0,61.0,-9957.852,-9635.072000000002,7,9,2,6,24
0,62.0,-9955.9701,-9633.190100000002,10,6,2,6,24
0,63.0,-9960.0708,-9637.2908,10,6,2,6,24
0,64.0,-9957.2525,-9634.472500000002,10,6,2,6,24
0,65.0,-9957.2104,-9634.430400000001,10,6,2,6,24
0,66.0,-9956.4986,-9633.718600000002,10,6,2,6,24
0,67.0,-9959.267,-9636.487000000001,9,7,2,6,24
0,68.0,-9960.3257,-9637.5457,10,6,2,6,24
0,69.0,-9960.1374,-9637.3574,10,6,2,6,24
0,70.0,-9957.5474,-9634.7674,10,6,2,6,24
0,71.0,-9959.0421,-9636.262100000002,10,6,2,6,24
0,72.0,-9952.4052,-9629.6252,9,7,2,6,24
0,73.0,-9959.6951,-9636.915100000002,9,8,1,6,24
0,74.0,-9955.1516,-9632.3716,8,9,1,6,24
0,75.0,-9952.7357,-9629.9557,9,8,1,6,24
0,76.0,-9952.697,-9629.917000000001,8,9,1,6,24
0,77.0,-9956.9095,-9634.129500000001,9,8,1,6,24
0,78.0,-9959.6697,-9636.889700000002,9,8,1,6,24
0,79.0,-9957.0625,-9634.282500000001,8,9,1,6,24
0,80.0,-9951.7711,-9628.991100000001,9,8,1,6,24
0,81.0,-9954.3919,-9631.611900000002,9,8,1,6,24
0,82.0,-9955.1809,-9632.4009,9,8,1,6,24
0,83.0,-9951.7465,-9628.9665,9,8,1,6,24
0,84.0,-9957.0342,-9634.254200000001,9,8,1,6,24
0,85.0,-9953.8572,-9631.077200000002,9,8,1,6,24
0,86.0,-9960.4505,-9637.670500000002,9,8,1,6,24
0,87.0,-9955.0035,-9632.223500000002,7,10,1,6,24
0,88.0,-9959.2169,-9636.4369,9,8,1,6,24
0,89.0,-9955.2564,-9632.476400000001,9,8,1,6,24
0,90.0,-9953.4585,-9630.678500000002,9,8,1,6,24
0,91.0,-9956.5629,-9633.782900000002,8,9,1,6,24
0,92.0,-9956.6862,-9633.906200000001,8,9,1,6,24
0,93.0,-9956.5637,-9633.783700000002,8,9,1,6,24
0,94.0,-9953.8673,-9631.087300000001,8,9,1,6,24
0,95.0,-9954.4614,-9631.681400000001,9,8,1,6,24
0,96.0,-9957.3264,-9634.546400000001,9,8,1,6,24
0,97.0,-9953.6456,-9630.865600000001,9,8,1,6,24
0,98.0,-9954.3994,-9631.619400000001,9,8,1,6,24
0,99.0,-9957.3768,-9634.596800000001,9,8,1,6,24
0,100.0,-9954.6916,-9631.911600000001,9,8,1,6,24
0,101.0,-9956.0315,-9633.2515,9,8,1,6,24
0,102.0,-9959.734,-9636.954000000002,9,8,1,6,24
