,Time,Tot_Energy,Free_Energy,OH2,OH,O,All
0,0.0,-10028.55,-9685.535,0,14,10,24
0,1.0,-9966.4232,-9623.4082,0,13,11,24
0,2.0,-9964.3185,-9621.3035,0,12,12,24
0,3.0,-9969.0421,-9626.027100000001,0,9,15,24
0,4.0,-9972.4369,-9629.421900000001,0,9,15,24
0,5.0,-9974.4842,-9631.469200000001,0,9,15,24
0,6.0,-9977.2698,-9634.2548,0,9,15,24
0,7.0,-9978.6063,-9635.5913,0,8,16,24
0,8.0,-9975.9717,-9632.9567,0,9,15,24
0,9.0,-9979.1362,-9636.121200000001,0,6,18,24
0,10.0,-9981.8729,-9638.8579,0,6,18,24
0,11.0,-9982.5021,-9639.4871,0,6,18,24
0,12.0,-9982.8163,-9639.801300000001,0,6,18,24
0,13.0,-9978.4168,-9635.401800000001,0,4,20,24
0,14.0,-9984.0768,-9641.061800000001,0,4,20,24
0,15.0,-9980.5908,-9637.5758,0,5,19,24
0,16.0,-9978.3585,-9635.3435,0,5,19,24
0,17.0,-9983.5491,-9640.5341,0,5,19,24
0,18.0,-9980.7187,-9637.7037,0,6,18,24
0,19.0,-9984.4924,-9641.4774,0,5,19,24
0,20.0,-9979.2202,-9636.2052,0,6,18,24
0,21.0,-9979.3751,-9636.3601,0,5,19,24
0,22.0,-9983.2975,-9640.282500000001,0,5,19,24
0,23.0,-9985.8653,-9642.8503,0,5,19,24
0,24.0,-9985.1036,-9642.088600000001,0,5,19,24
0,25.0,-9985.4826,-9642.4676,0,5,19,24
0,26.0,-9983.3174,-9640.3024,0,5,19,24
0,27.0,-9984.2714,-9641.2564,0,5,19,24
0,28.0,-9987.9871,-9644.9721,0,5,19,24
0,29.0,-9983.076,-9640.061,0,5,19,24
0,30.0,-9983.2158,-9640.2008,0,5,19,24
0,31.0,-9980.8002,-9637.7852,0,5,19,24
0,32.0,-9983.4127,-9640.397700000001,0,5,19,24
0,33.0,-9982.7048,-9639.6898,0,5,19,24
0,34.0,-9984.9507,-9641.9357,0,5,19,24
0,35.0,-9985.3236,-9642.3086,0,5,19,24
0,36.0,-9982.4478,-9639.4328,0,5,19,24
0,37.0,-9986.0018,-9642.9868,0,5,19,24
0,38.0,-9979.71,-9636.695,0,4,20,24
0,39.0,-9980.7406,-9637.7256,0,4,20,24
0,40.0,-9984.7823,-9641.767300000001,0,4,20,24
0,41.0,-9983.2765,-9640.2615,0,3,21,24
0,42.0,-9987.612,-9644.597,0,3,21,24
0,43.0,-9985.8468,-9642.8318,0,3,21,24
0,44.0,-9983.2126,-9640.197600000001,0,3,21,24
0,45.0,-9987.4409,-9644.4259,0,2,22,24
0,46.0,-9985.2677,-9642.252700000001,0,2,22,24
0,47.0,-9990.9581,-9647.9431,0,2,22,24
0,48.0,-9986.8381,-9643.823100000001,0,2,22,24
0,49.0,-9983.8493,-9640.8343,0,2,22,24
0,50.0,-9984.3,-9641.285,0,2,22,24
0,51.0,-9987.1859,-9644.170900000001,0,2,22,24
0,52.0,-9982.9184,-9639.903400000001,0,2,22,24
0,53.0,-9983.8923,-9640.8773,0,2,22,24
0,54.0,-9986.3962,-9643.3812,0,2,22,24
0,55.0,-9988.4581,-9645.4431,0,1,23,24
0,56.0,-9985.5648,-9642.5498,0,1,23,24
0,57.0,-9985.8147,-9642.799700000001,0,1,23,24
0,58.0,-9985.2069,-9642.1919,0,1,23,24
0,59.0,-9985.209,-9642.194000000001,0,1,23,24
0,60.0,-9983.5763,-9640.561300000001,0,1,23,24
0,61.0,-9982.7282,-9639.7132,0,1,23,24
0,62.0,-9986.0984,-9643.083400000001,0,1,23,24
0,63.0,-9988.4594,-9645.4444,0,1,23,24
0,64.0,-9988.7783,-9645.7633,0,1,23,24
0,65.0,-9984.2506,-9641.2356,0,1,23,24
0,66.0,-9986.8395,-9643.8245,0,1,23,24
0,67.0,-9986.3586,-9643.3436,0,1,23,24
0,68.0,-9984.982,-9641.967,0,1,23,24
0,69.0,-9986.4164,-9643.4014,0,1,23,24
0,70.0,-9990.1687,-9647.1537,0,2,22,24
0,71.0,-9985.9309,-9642.9159,0,1,23,24
0,72.0,-9988.0239,-9645.0089,0,1,23,24
0,73.0,-9985.2797,-9642.2647,0,1,23,24
0,74.0,-9989.4253,-9646.410300000001,0,1,23,24
0,75.0,-9988.6101,-9645.5951,0,2,22,24
0,76.0,-9984.64,-9641.625,0,2,22,24
0,77.0,-9990.9418,-9647.926800000001,0,1,23,24
0,78.0,-9986.7369,-9643.7219,0,1,23,24
0,79.0,-9987.3328,-9644.3178,0,1,23,24
0,80.0,-9984.1551,-9641.1401,0,2,22,24
0,81.0,-9991.1923,-9648.177300000001,0,1,23,24
0,82.0,-9985.6238,-9642.6088,0,1,23,24
0,83.0,-9987.2474,-9644.2324,0,1,23,24
0,84.0,-9987.1094,-9644.0944,0,1,23,24
0,85.0,-9984.2908,-9641.275800000001,0,2,22,24
0,86.0,-9987.3944,-9644.3794,0,1,23,24
0,87.0,-9989.1211,-9646.1061,0,1,23,24
0,88.0,-9988.5681,-9645.553100000001,0,1,23,24
0,89.0,-9985.2673,-9642.2523,0,1,23,24
0,90.0,-9987.2091,-9644.1941,0,1,23,24
0,91.0,-9991.6311,-9648.616100000001,0,1,23,24
0,92.0,-9987.4709,-9644.4559,0,1,23,24
0,93.0,-9990.9547,-9647.9397,0,1,23,24
0,94.0,-9987.7973,-9644.7823,0,1,23,24
