,Time,Tot_Energy,Free_Energy,OH2,OH,O,All
0,0.0,-10046.659,-9682.575,0,16,8,24
0,1.0,-9983.3793,-9619.295300000002,0,14,10,24
0,2.0,-9985.7951,-9621.7111,0,12,12,24
0,3.0,-9989.7602,-9625.676200000002,0,9,15,24
0,4.0,-9992.945,-9628.861,0,8,16,24
0,5.0,-9996.1616,-9632.0776,0,9,15,24
0,6.0,-9996.8289,-9632.744900000002,0,8,16,24
0,7.0,-9994.8253,-9630.741300000002,0,8,16,24
0,8.0,-9999.2333,-9635.149300000001,0,8,16,24
0,9.0,-9997.0787,-9632.994700000001,0,7,17,24
0,10.0,-10001.581,-9637.497000000001,0,7,17,24
0,11.0,-9998.7358,-9634.651800000001,0,7,17,24
0,12.0,-9999.9408,-9635.856800000001,0,6,18,24
0,13.0,-10000.926,-9636.842,0,5,19,24
0,14.0,-10001.852,-9637.768000000002,0,5,19,24
0,15.0,-9999.039,-9634.955000000002,0,5,19,24
0,16.0,-10001.761,-9637.677000000001,0,5,19,24
0,17.0,-10002.976,-9638.892000000002,0,5,19,24
0,18.0,-10001.462,-9637.378,0,5,19,24
0,19.0,-10002.133,-9638.049,0,5,19,24
0,20.0,-10005.741,-9641.657000000001,0,6,18,24
0,21.0,-10001.954,-9637.87,0,6,18,24
0,22.0,-10004.938,-9640.854000000001,0,6,18,24
0,23.0,-10001.597,-9637.513,0,6,18,24
0,24.0,-10006.241,-9642.157000000001,0,6,18,24
0,25.0,-10003.583,-9639.499000000002,0,6,18,24
0,26.0,-9999.291,-9635.207,0,6,18,24
0,27.0,-10003.936,-9639.852,0,6,18,24
0,28.0,-9998.6173,-9634.533300000001,0,6,18,24
0,29.0,-10002.519,-9638.435000000001,0,5,19,24
0,30.0,-10005.497,-9641.413,0,5,19,24
0,31.0,-10003.31,-9639.226,0,5,19,24
0,32.0,-10001.35,-9637.266000000001,0,5,19,24
0,33.0,-10001.832,-9637.748000000001,0,5,19,24
0,34.0,-9998.9152,-9634.8312,0,4,20,24
0,35.0,-10001.22,-9637.136,0,4,20,24
0,36.0,-10004.725,-9640.641000000001,0,5,19,24
0,37.0,-10000.555,-9636.471000000001,0,4,20,24
0,38.0,-10000.314,-9636.230000000001,0,5,19,24
0,39.0,-10000.42,-9636.336000000001,0,4,20,24
0,40.0,-10000.847,-9636.763,0,4,20,24
0,41.0,-9998.2553,-9634.171300000002,0,5,19,24
0,42.0,-10003.824,-9639.740000000002,0,5,19,24
0,43.0,-10003.652,-9639.568000000001,0,4,20,24
0,44.0,-10005.002,-9640.918000000001,0,4,20,24
0,45.0,-10008.809,-9644.725,0,4,20,24
0,46.0,-10002.517,-9638.433,0,4,20,24
0,47.0,-10005.353,-9641.269,0,4,20,24
0,48.0,-10005.25,-9641.166000000001,0,5,19,24
0,49.0,-10003.765,-9639.681,0,4,20,24
0,50.0,-10007.494,-9643.410000000002,0,4,20,24
