,Time,Tot_Energy,Free_Energy,OH2,OH,O,All
0,0.0,-10015.914,-9686.806,0,8,16,24
0,1.0,-9954.0572,-9624.9492,0,8,16,24
0,2.0,-9956.5165,-9627.4085,0,9,15,24
0,3.0,-9955.1393,-9626.0313,0,8,16,24
0,4.0,-9959.4025,-9630.2945,0,8,16,24
0,5.0,-9961.3453,-9632.2373,0,7,17,24
0,6.0,-9965.4715,-9636.3635,0,7,17,24
0,7.0,-9964.6755,-9635.5675,0,7,17,24
0,8.0,-9968.4481,-9639.3401,0,7,17,24
0,9.0,-9964.4777,-9635.3697,0,6,18,24
0,10.0,-9965.8318,-9636.7238,0,7,17,24
0,11.0,-9968.1591,-9639.0511,0,6,18,24
0,12.0,-9968.7249,-9639.616899999999,0,7,17,24
0,13.0,-9966.2163,-9637.1083,0,6,18,24
0,14.0,-9966.592,-9637.484,0,6,18,24
0,15.0,-9968.1315,-9639.0235,0,5,19,24
0,16.0,-9966.2929,-9637.1849,0,6,18,24
0,17.0,-9970.3139,-9641.205899999999,0,6,18,24
0,18.0,-9964.3632,-9635.2552,0,6,18,24
0,19.0,-9968.727,-9639.619,0,6,18,24
0,20.0,-9971.4165,-9642.3085,0,6,18,24
0,21.0,-9967.8896,-9638.7816,0,6,18,24
0,22.0,-9968.5993,-9639.4913,0,5,19,24
0,23.0,-9970.3218,-9641.2138,0,5,19,24
0,24.0,-9969.1286,-9640.0206,0,6,18,24
0,25.0,-9972.6392,-9643.5312,0,6,18,24
0,26.0,-9967.5922,-9638.484199999999,0,6,18,24
0,27.0,-9972.7156,-9643.6076,0,6,18,24
0,28.0,-9971.3441,-9642.2361,0,6,18,24
0,29.0,-9971.5083,-9642.4003,0,6,18,24
0,30.0,-9971.8307,-9642.7227,0,6,18,24
0,31.0,-9968.8269,-9639.7189,0,6,18,24
0,32.0,-9967.7858,-9638.6778,0,6,18,24
0,33.0,-9972.7212,-9643.6132,0,6,18,24
0,34.0,-9967.0096,-9637.9016,0,6,18,24
