,Time,Tot_Energy,Free_Energy,OH2,OH,O,OO,All
0,0.0,-10039.959,-9678.8305,5,3,8,8,24
0,1.0,-9976.7252,-9615.5967,5,7,4,8,24
0,2.0,-9977.4134,-9616.284899999999,5,6,5,8,24
0,3.0,-9979.7594,-9618.6309,4,8,4,8,24
0,4.0,-9984.3277,-9623.1992,6,6,4,8,24
0,5.0,-9979.8055,-9618.677,7,5,4,8,24
0,6.0,-9983.8961,-9622.7676,6,7,3,8,24
0,7.0,-9983.6961,-9622.567599999998,7,7,3,7,24
0,8.0,-9986.2792,-9625.1507,8,7,2,7,24
0,9.0,-9987.4038,-9626.2753,8,7,2,7,24
0,10.0,-9989.0972,-9627.9687,8,7,2,7,24
0,11.0,-9992.6771,-9631.5486,8,7,2,7,24
0,12.0,-9990.7368,-9629.6083,8,7,2,7,24
0,13.0,-9988.6361,-9627.507599999999,8,7,2,7,24
0,14.0,-9994.4566,-9633.328099999999,8,7,2,7,24
0,15.0,-9990.8962,-9629.767699999999,9,5,3,7,24
0,16.0,-9993.4079,-9632.2794,9,6,2,7,24
0,17.0,-9996.2052,-9635.0767,9,6,2,7,24
0,18.0,-9991.4661,-9630.337599999999,9,6,2,7,24
0,19.0,-9991.3906,-9630.2621,7,8,2,7,24
0,20.0,-9995.8114,-9634.6829,9,6,2,7,24
0,21.0,-9992.9051,-9631.7766,8,7,2,7,24
0,22.0,-9993.6648,-9632.5363,8,6,3,7,24
0,23.0,-9994.7271,-9633.5986,8,6,3,7,24
0,24.0,-9991.3032,-9630.1747,8,6,3,7,24
0,25.0,-9992.4173,-9631.288799999998,9,5,3,7,24
0,26.0,-9991.8902,-9630.7617,9,5,3,7,24
0,27.0,-9996.7341,-9635.605599999999,9,5,3,7,24
0,28.0,-9992.2234,-9631.0949,9,6,2,7,24
0,29.0,-9996.2919,-9635.1634,9,6,2,7,24
0,30.0,-9992.8635,-9631.734999999999,9,5,3,7,24
0,31.0,-9996.2965,-9635.168,8,6,4,6,24
0,32.0,-9992.4255,-9631.296999999999,7,8,3,6,24
0,33.0,-9997.1106,-9635.9821,8,7,3,6,24
0,34.0,-9997.9732,-9636.8447,8,8,2,6,24
0,35.0,-9992.9698,-9631.8413,8,6,4,6,24
0,36.0,-9995.108,-9633.9795,8,6,4,6,24
0,37.0,-9996.5474,-9635.418899999999,7,7,4,6,24
0,38.0,-9999.1623,-9638.0338,8,6,4,6,24
0,39.0,-9993.6805,-9632.552,9,5,4,6,24
0,40.0,-9998.8755,-9637.747,9,5,4,6,24
0,41.0,-9996.1675,-9635.038999999999,9,5,4,6,24
0,42.0,-9993.207,-9632.0785,9,6,3,6,24
0,43.0,-9997.1055,-9635.976999999999,9,5,4,6,24
0,44.0,-9997.4612,-9636.332699999999,8,6,4,6,24
0,45.0,-9993.3873,-9632.2588,9,6,3,6,24
0,46.0,-9997.1468,-9636.0183,9,6,3,6,24
0,47.0,-9993.7923,-9632.663799999998,8,6,4,6,24
0,48.0,-9995.6674,-9634.5389,9,5,4,6,24
0,49.0,-9998.401,-9637.2725,9,5,4,6,24
0,50.0,-9995.2093,-9634.0808,9,6,3,6,24
0,51.0,-9996.8695,-9635.741,8,7,3,6,24
0,52.0,-9994.1349,-9633.006399999998,9,5,4,6,24
0,53.0,-9995.2744,-9634.1459,9,7,2,6,24
0,54.0,-9998.3822,-9637.2537,8,8,2,6,24
0,55.0,-9995.1578,-9634.0293,9,6,3,6,24
0,56.0,-9998.2119,-9637.0834,9,5,4,6,24
0,57.0,-9999.2023,-9638.0738,9,6,3,6,24
0,58.0,-9995.7943,-9634.665799999999,9,5,4,6,24
0,59.0,-9994.2267,-9633.098199999999,8,8,2,6,24
0,60.0,-9998.4135,-9637.285,8,8,2,6,24
0,61.0,-9997.142,-9636.0135,9,7,2,6,24
0,62.0,-9995.6241,-9634.4956,8,6,4,6,24
0,63.0,-9998.097,-9636.968499999999,9,7,2,6,24
0,64.0,-10000.78,-9639.6515,9,5,4,6,24
0,65.0,-9996.0012,-9634.8727,9,6,3,6,24
0,66.0,-9995.2447,-9634.116199999999,9,7,2,6,24
0,67.0,-9999.0154,-9637.8869,9,7,2,6,24
0,68.0,-9992.4557,-9631.3272,9,6,3,6,24
0,69.0,-9999.2909,-9638.1624,9,7,2,6,24
0,70.0,-9996.4057,-9635.277199999999,9,6,3,6,24
0,71.0,-9994.7845,-9633.655999999999,8,8,2,6,24
0,72.0,-9996.0392,-9634.910699999999,9,6,3,6,24
0,73.0,-10000.001,-9638.8725,9,7,2,6,24
0,74.0,-9995.4644,-9634.3359,7,8,3,6,24
0,75.0,-9993.7121,-9632.5836,8,7,3,6,24
0,76.0,-9996.51,-9635.3815,8,8,2,6,24
0,77.0,-10000.408,-9639.279499999999,8,8,2,6,24
0,78.0,-9995.1221,-9633.9936,9,5,4,6,24
0,79.0,-9998.744,-9637.6155,9,6,3,6,24
0,80.0,-9995.6618,-9634.5333,9,7,2,6,24
0,81.0,-9997.0879,-9635.9594,8,6,4,6,24
0,82.0,-9994.1077,-9632.9792,9,7,2,6,24
0,83.0,-9996.2354,-9635.106899999999,9,6,3,6,24
0,84.0,-9995.5319,-9634.4034,9,7,2,6,24
0,85.0,-9998.6043,-9637.4758,8,7,3,6,24
0,86.0,-9995.0624,-9633.9339,9,7,2,6,24
0,87.0,-9997.6742,-9636.545699999999,8,8,2,6,24
0,88.0,-9995.685,-9634.556499999999,9,7,2,6,24
0,89.0,-9997.1261,-9635.997599999999,9,7,2,6,24
0,90.0,-9994.6355,-9633.507,8,8,2,6,24
0,91.0,-10001.922,-9640.7935,9,7,2,6,24
0,92.0,-9998.0272,-9636.8987,10,6,2,6,24
0,93.0,-9998.2381,-9637.1096,10,5,3,6,24
0,94.0,-9997.3448,-9636.2163,10,5,3,6,24
0,95.0,-9995.8199,-9634.6914,10,6,2,6,24
0,96.0,-9999.3412,-9638.2127,10,6,2,6,24
0,97.0,-9998.8293,-9637.700799999999,10,5,3,6,24
0,98.0,-9998.8495,-9637.721,10,5,3,6,24
0,99.0,-9999.3782,-9638.249699999998,10,5,3,6,24
0,100.0,-10003.964,-9642.8355,9,6,3,6,24
0,101.0,-9997.6671,-9636.5386,10,6,2,6,24
0,102.0,-9997.586,-9636.457499999999,9,6,3,6,24
0,103.0,-10000.28,-9639.1515,10,6,2,6,24
0,104.0,-9997.8305,-9636.702,10,6,2,6,24
0,105.0,-9999.085,-9637.956499999998,9,7,2,6,24
0,106.0,-9996.4169,-9635.2884,10,5,3,6,24
