,Time,Tot_Energy,Free_Energy,OH2,OH,O,All
0,0.0,-10007.376,-9692.592,0,11,13,24
0,1.0,-9943.3974,-9628.6134,0,11,13,24
0,2.0,-9946.3045,-9631.5205,0,10,14,24
0,3.0,-9946.8652,-9632.0812,0,9,15,24
0,4.0,-9947.8516,-9633.0676,0,8,16,24
0,5.0,-9953.6009,-9638.8169,0,9,15,24
0,6.0,-9954.8606,-9640.0766,0,7,17,24
0,7.0,-9951.7062,-9636.9222,0,7,17,24
0,8.0,-9958.4086,-9643.624600000001,0,7,17,24
0,9.0,-9961.7757,-9646.9917,0,7,17,24
0,10.0,-9958.9006,-9644.116600000001,0,7,17,24
0,11.0,-9955.0973,-9640.3133,0,7,17,24
0,12.0,-9953.4514,-9638.6674,0,7,17,24
0,13.0,-9954.6613,-9639.8773,0,7,17,24
0,14.0,-9960.6649,-9645.8809,0,7,17,24
0,15.0,-9956.3635,-9641.5795,0,7,17,24
0,16.0,-9955.1766,-9640.392600000001,0,7,17,24
0,17.0,-9955.2455,-9640.461500000001,0,7,17,24
0,18.0,-9958.2109,-9643.4269,0,7,17,24
0,19.0,-9957.5974,-9642.813400000001,0,7,17,24
0,20.0,-9954.4076,-9639.6236,0,7,17,24
0,21.0,-9958.8611,-9644.0771,0,7,17,24
0,22.0,-9955.256,-9640.472,0,7,17,24
0,23.0,-9961.3292,-9646.5452,0,7,17,24
0,24.0,-9960.4626,-9645.678600000001,0,7,17,24
0,25.0,-9956.6625,-9641.8785,0,7,17,24
0,26.0,-9962.805,-9648.021,0,7,17,24
0,27.0,-9961.4424,-9646.6584,0,7,17,24
0,28.0,-9960.0965,-9645.3125,0,7,17,24
0,29.0,-9959.9609,-9645.1769,0,7,17,24
0,30.0,-9958.0014,-9643.2174,0,7,17,24
0,31.0,-9955.5537,-9640.7697,0,7,17,24
0,32.0,-9956.9955,-9642.211500000001,0,7,17,24
0,33.0,-9960.4212,-9645.637200000001,0,7,17,24
0,34.0,-9958.9847,-9644.200700000001,0,7,17,24
0,35.0,-9956.8237,-9642.039700000001,0,7,17,24
0,36.0,-9958.9506,-9644.1666,0,7,17,24
0,37.0,-9956.6874,-9641.903400000001,0,7,17,24
0,38.0,-9956.2008,-9641.4168,0,7,17,24
0,39.0,-9961.6081,-9646.8241,0,8,16,24
0,40.0,-9960.0509,-9645.2669,0,7,17,24
0,41.0,-9956.7422,-9641.958200000001,0,6,18,24
0,42.0,-9963.7691,-9648.9851,0,6,18,24
0,43.0,-9955.6564,-9640.8724,0,6,18,24
0,44.0,-9959.2092,-9644.4252,0,6,18,24
0,45.0,-9957.3221,-9642.5381,0,6,18,24
0,46.0,-9958.2336,-9643.4496,0,6,18,24
0,47.0,-9959.4536,-9644.669600000001,0,6,18,24
0,48.0,-9960.3873,-9645.6033,0,5,19,24
0,49.0,-9960.023,-9645.239,0,5,19,24
0,50.0,-9955.4477,-9640.663700000001,0,5,19,24
0,51.0,-9962.0628,-9647.2788,0,6,18,24
0,52.0,-9961.7597,-9646.9757,0,5,19,24
0,53.0,-9957.6499,-9642.8659,0,5,19,24
0,54.0,-9962.2308,-9647.4468,0,5,19,24
0,55.0,-9957.7014,-9642.9174,0,5,19,24
0,56.0,-9962.0073,-9647.2233,0,5,19,24
0,57.0,-9960.8831,-9646.0991,0,5,19,24
0,58.0,-9957.3754,-9642.591400000001,0,5,19,24
0,59.0,-9958.2203,-9643.436300000001,0,5,19,24
0,60.0,-9964.976,-9650.192000000001,0,5,19,24
0,61.0,-9962.0724,-9647.2884,0,5,19,24
0,62.0,-9960.6376,-9645.8536,0,5,19,24
0,63.0,-9960.8488,-9646.0648,0,5,19,24
0,64.0,-9960.2297,-9645.4457,0,5,19,24
0,65.0,-9965.7475,-9650.9635,0,5,19,24
0,66.0,-9962.9044,-9648.1204,0,5,19,24
0,67.0,-9961.4931,-9646.7091,0,5,19,24
0,68.0,-9958.7464,-9643.9624,0,5,19,24
0,69.0,-9964.2271,-9649.4431,0,5,19,24
0,70.0,-9959.4282,-9644.6442,0,5,19,24
0,71.0,-9961.3117,-9646.5277,0,5,19,24
0,72.0,-9959.5857,-9644.8017,0,5,19,24
0,73.0,-9963.5628,-9648.7788,0,5,19,24
0,74.0,-9963.2433,-9648.4593,0,5,19,24
0,75.0,-9959.6505,-9644.8665,0,4,20,24
0,76.0,-9965.4301,-9650.6461,0,4,20,24
0,77.0,-9964.9992,-9650.2152,0,4,20,24
0,78.0,-9968.6474,-9653.8634,0,4,20,24
0,79.0,-9961.7303,-9646.9463,0,4,20,24
0,80.0,-9961.5504,-9646.7664,0,4,20,24
0,81.0,-9965.3269,-9650.5429,0,4,20,24
0,82.0,-9964.0166,-9649.232600000001,0,4,20,24
0,83.0,-9961.4422,-9646.6582,0,4,20,24
0,84.0,-9966.6704,-9651.886400000001,0,4,20,24
0,85.0,-9965.9185,-9651.1345,0,4,20,24
0,86.0,-9965.1873,-9650.4033,0,4,20,24
0,87.0,-9961.7176,-9646.9336,0,4,20,24
0,88.0,-9963.859,-9649.075,0,3,21,24
0,89.0,-9962.9176,-9648.133600000001,0,3,21,24
0,90.0,-9963.2655,-9648.4815,0,3,21,24
0,91.0,-9964.8576,-9650.0736,0,3,21,24
0,92.0,-9958.3682,-9643.584200000001,0,3,21,24
0,93.0,-9966.1604,-9651.376400000001,0,3,21,24
0,94.0,-9964.1123,-9649.328300000001,0,3,21,24
0,95.0,-9961.2387,-9646.4547,0,2,22,24
0,96.0,-9966.1373,-9651.3533,0,3,21,24
0,97.0,-9967.0542,-9652.2702,0,2,22,24
0,98.0,-9958.8199,-9644.0359,0,2,22,24
0,99.0,-9966.6558,-9651.8718,0,2,22,24
0,100.0,-9963.9434,-9649.1594,0,2,22,24
0,101.0,-9962.6395,-9647.8555,0,2,22,24
0,102.0,-9963.2538,-9648.4698,0,2,22,24
0,103.0,-9966.4924,-9651.7084,0,2,22,24
0,104.0,-9961.1904,-9646.4064,0,2,22,24
0,105.0,-9962.2696,-9647.4856,0,2,22,24
