,Time,Tot_Energy,Free_Energy,OH2,OH,O,All
0,111.0,-9970.7612,-9649.2322,0,6,18,24
0,112.0,-9967.0027,-9645.473699999999,0,7,17,24
0,113.0,-9969.9472,-9648.4182,0,6,18,24
0,114.0,-9974.6447,-9653.1157,0,6,18,24
0,115.0,-9970.5974,-9649.0684,0,5,19,24
0,116.0,-9971.9578,-9650.4288,0,6,18,24
0,117.0,-9969.693,-9648.163999999999,0,5,19,24
0,118.0,-9970.9712,-9649.4422,0,6,18,24
0,119.0,-9969.9741,-9648.445099999999,0,5,19,24
0,120.0,-9971.3305,-9649.8015,0,3,21,24
0,121.0,-9973.1246,-9651.595599999999,0,2,22,24
0,122.0,-9969.361,-9647.832,0,4,20,24
0,123.0,-9967.9364,-9646.4074,0,4,20,24
0,124.0,-9972.174,-9650.645,0,6,18,24
0,125.0,-9972.6843,-9651.1553,0,4,20,24
0,126.0,-9972.6841,-9651.1551,0,4,20,24
0,127.0,-9969.7626,-9648.2336,0,5,19,24
0,128.0,-9973.8809,-9652.3519,0,4,20,24
0,129.0,-9970.8782,-9649.349199999999,0,5,19,24
0,130.0,-9972.7364,-9651.2074,0,6,18,24
0,131.0,-9970.0914,-9648.562399999999,0,4,20,24
0,132.0,-9968.6969,-9647.1679,0,6,18,24
0,133.0,-9968.9668,-9647.4378,0,5,19,24
0,134.0,-9973.1993,-9651.6703,0,6,18,24
0,135.0,-9970.5831,-9649.0541,0,6,18,24
0,136.0,-9971.4691,-9649.9401,0,6,18,24
0,137.0,-9969.9596,-9648.4306,0,6,18,24
0,138.0,-9970.4328,-9648.9038,0,6,18,24
0,139.0,-9972.8126,-9651.283599999999,0,6,18,24
0,140.0,-9970.381,-9648.851999999999,0,6,18,24
0,141.0,-9974.8822,-9653.3532,0,6,18,24
0,142.0,-9968.9547,-9647.4257,0,6,18,24
0,143.0,-9972.0282,-9650.4992,0,6,18,24
0,144.0,-9971.3838,-9649.8548,0,6,18,24
0,145.0,-9970.3886,-9648.8596,0,5,19,24
0,146.0,-9968.6442,-9647.1152,0,5,19,24
0,147.0,-9970.6951,-9649.1661,0,5,19,24
0,148.0,-9969.0356,-9647.506599999999,0,5,19,24
0,149.0,-9973.3364,-9651.8074,0,5,19,24
0,150.0,-9971.5328,-9650.0038,0,5,19,24
0,151.0,-9969.2328,-9647.7038,0,5,19,24
0,152.0,-9971.2824,-9649.7534,0,4,20,24
0,153.0,-9969.3559,-9647.8269,0,4,20,24
0,154.0,-9974.3696,-9652.8406,0,5,19,24
0,155.0,-9972.8124,-9651.2834,0,5,19,24
0,156.0,-9974.2942,-9652.7652,0,5,19,24
0,157.0,-9974.6476,-9653.1186,0,5,19,24
0,158.0,-9970.9926,-9649.4636,0,5,19,24
0,159.0,-9973.0987,-9651.5697,0,5,19,24
0,160.0,-9975.3282,-9653.7992,0,5,19,24
0,161.0,-9976.0694,-9654.5404,0,4,20,24
0,162.0,-9973.3114,-9651.7824,0,5,19,24
0,163.0,-9969.4164,-9647.8874,0,5,19,24
0,164.0,-9974.2506,-9652.721599999999,0,4,20,24
0,165.0,-9971.3971,-9649.8681,0,5,19,24
0,166.0,-9968.151,-9646.622,0,5,19,24
0,167.0,-9970.0411,-9648.5121,0,5,19,24
0,168.0,-9972.7992,-9651.270199999999,0,5,19,24
0,169.0,-9969.2033,-9647.674299999999,0,5,19,24
0,170.0,-9970.6329,-9649.1039,0,5,19,24
0,171.0,-9975.0906,-9653.561599999999,0,5,19,24
0,172.0,-9970.2517,-9648.7227,0,5,19,24
0,173.0,-9974.22,-9652.690999999999,0,5,19,24
0,174.0,-9970.197,-9648.668,0,4,20,24
0,175.0,-9973.1024,-9651.5734,0,5,19,24
0,176.0,-9971.5202,-9649.9912,0,5,19,24
0,177.0,-9975.1581,-9653.6291,0,4,20,24
0,178.0,-9972.8457,-9651.3167,0,4,20,24
0,179.0,-9978.2493,-9656.720299999999,0,4,20,24
0,180.0,-9969.7488,-9648.219799999999,0,4,20,24
0,181.0,-9972.9649,-9651.4359,0,5,19,24
0,182.0,-9976.257,-9654.728,0,5,19,24
0,183.0,-9974.6024,-9653.0734,0,5,19,24
0,184.0,-9970.33,-9648.801,0,4,20,24
0,185.0,-9973.7387,-9652.2097,0,5,19,24
0,186.0,-9970.1893,-9648.6603,0,5,19,24
0,187.0,-9973.7329,-9652.2039,0,5,19,24
0,188.0,-9974.7547,-9653.225699999999,0,5,19,24
0,189.0,-9974.0042,-9652.475199999999,0,5,19,24
0,190.0,-9972.7589,-9651.2299,0,5,19,24
0,191.0,-9975.5353,-9654.0063,0,5,19,24
0,192.0,-9973.1628,-9651.6338,0,5,19,24
0,193.0,-9977.0851,-9655.5561,0,5,19,24
0,194.0,-9975.7939,-9654.2649,0,5,19,24
0,195.0,-9976.3843,-9654.8553,0,5,19,24
0,196.0,-9974.2736,-9652.7446,0,5,19,24
0,197.0,-9969.663,-9648.134,0,4,20,24
0,198.0,-9969.5836,-9648.0546,0,5,19,24
0,199.0,-9972.4209,-9650.891899999999,0,5,19,24
0,200.0,-9972.9901,-9651.4611,0,5,19,24
0,201.0,-9968.3171,-9646.7881,0,5,19,24
0,202.0,-9974.7042,-9653.1752,0,5,19,24
0,203.0,-9971.9909,-9650.4619,0,5,19,24
0,204.0,-9972.5642,-9651.0352,0,5,19,24
0,205.0,-9974.0787,-9652.5497,0,5,19,24
0,206.0,-9974.9253,-9653.3963,0,5,19,24
0,207.0,-9976.1806,-9654.6516,0,5,19,24
0,208.0,-9974.1967,-9652.6677,0,5,19,24
0,209.0,-9972.8991,-9651.3701,0,5,19,24
0,210.0,-9974.8883,-9653.3593,0,5,19,24
0,211.0,-9975.5768,-9654.0478,0,5,19,24
0,212.0,-9972.7299,-9651.2009,0,4,20,24
0,213.0,-9974.8126,-9653.283599999999,0,5,19,24
0,214.0,-9971.2949,-9649.7659,0,5,19,24
0,215.0,-9974.7655,-9653.236499999999,0,5,19,24
0,216.0,-9974.939,-9653.41,0,4,20,24
0,217.0,-9974.5048,-9652.9758,0,5,19,24
0,218.0,-9972.6874,-9651.1584,0,5,19,24
0,219.0,-9974.7589,-9653.2299,0,5,19,24
0,220.0,-9973.7537,-9652.224699999999,0,5,19,24
0,221.0,-9969.6259,-9648.096899999999,0,4,20,24
0,222.0,-9973.1665,-9651.637499999999,0,5,19,24
0,223.0,-9975.1444,-9653.615399999999,0,4,20,24
0,224.0,-9971.5402,-9650.011199999999,0,5,19,24
0,225.0,-9973.5364,-9652.0074,0,5,19,24
0,226.0,-9973.6035,-9652.074499999999,0,5,19,24
0,227.0,-9977.5448,-9656.0158,0,5,19,24
0,228.0,-9971.0835,-9649.5545,0,5,19,24
0,229.0,-9973.7925,-9652.2635,0,4,20,24
0,230.0,-9975.5366,-9654.007599999999,0,5,19,24
0,231.0,-9975.1174,-9653.588399999999,0,5,19,24
0,232.0,-9971.1439,-9649.614899999999,0,5,19,24
0,233.0,-9977.9535,-9656.4245,0,5,19,24
0,234.0,-9973.1553,-9651.6263,0,4,20,24
0,235.0,-9973.6353,-9652.1063,0,5,19,24
0,236.0,-9974.352,-9652.823,0,4,20,24
0,237.0,-9970.5367,-9649.0077,0,5,19,24
0,238.0,-9970.6812,-9649.1522,0,5,19,24
0,239.0,-9975.3141,-9653.7851,0,5,19,24
0,240.0,-9976.2622,-9654.733199999999,0,5,19,24
0,241.0,-9970.4843,-9648.9553,0,5,19,24
0,242.0,-9972.4191,-9650.890099999999,0,5,19,24
0,243.0,-9973.558,-9652.029,0,5,19,24
0,244.0,-9970.6813,-9649.1523,0,5,19,24
0,245.0,-9971.8743,-9650.345299999999,0,5,19,24
0,246.0,-9971.4158,-9649.8868,0,5,19,24
0,247.0,-9972.229,-9650.699999999999,0,5,19,24
0,248.0,-9973.8224,-9652.293399999999,0,5,19,24
0,249.0,-9967.9791,-9646.4501,0,4,20,24
0,250.0,-9970.0005,-9648.4715,0,4,20,24
0,251.0,-9972.5351,-9651.006099999999,0,5,19,24
